Title,Developer,Publisher,Release date North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
Supercross 2000,MBL Research,EA Sports,31-Oct-99,n64,,3030-12092,12092,0,10/31/1999,https://www.giantbomb.com/supercross-2000/3030-12092/,ESRB: E,
Superman,Titus Interactive,Titus Software,31-May-99,n64,Superman is iOS game developed by Tiger Games.,3030-37678,37678,0,11/17/2011,https://www.giantbomb.com/superman/3030-37678/,,
Tetrisphere,H2O Entertainment,Nintendo,11-Aug-97,n64,A pseudo-3D Tetris style game involving Robots with special abilities and power-ups.,3030-3049,3049,0,8/11/1997,https://www.giantbomb.com/tetrisphere/3030-3049/,ESRB: E," <div> Overview : Time TrialReleased in August of 1997, Tetrisphere has the distinction of being the first puzzle game released for the N64. As the name suggests, is all about a spherical object and the tetrominoes that are joined to its core. The basic idea of the game is to remove pieces by dropping more pieces of the same shape and color onto those pieces in order to dive deeper into the core of the sphere and complete the goal. Through skillful play the player can receive power-ups that remove more pieces and will increase is power if not used. The player is usually fighting against the clock which is usually represented by the titular sphere slowly inching towards the screen. If the sphere hits the screen the player is penalized with a skull. In most modes three skulls will result in failure. In order to prevent the sphere from hitting the screen the player needs to remove pieces from the sphere which will cause it to ""bounce back"" combos give the players more time as it causes the sphere to bounce back further. The game actually started life as an unreleased Jaguar title called Phear, Nintendo however picked up the game and added the Tetris license. </div>  <div> Game Modes : Tetrisphere MenuRescue: Rescue is all about the basic principles of Tetrisphere; remove pieces from the core by dropping more pieces onto the sphere. In this mode, the player is fighting against the clock and will receive power-ups if the combo multiplier is high enough. In order to complete a level, the player must remove enough pieces from the sphere so that the creature trapped inside can escape. The player will fail the level if the player accumulates 3 skulls.Hide Seek: Essentially Rescue but with certain conditions that must either be met.Puzzle: Puzzle has no time limit and is significantly different to the other modes in that the objective is to clear the core entirely but with limited moves/slides or drops. The levels in Puzzle get progressively harder.Time Trial: Time Trial is a race against time to get the highest score possible within the given time.Vs Cpu: In Vs Cpu the player faces off against the CPU's robots in a race to release the trapped creature first. The game plays in split screen while in this mode and by making combos black debris tetrominoes will be deposited onto the opposing player's sphere. </div>  <div> Multiplayer : Tetrisphere Multi-PlayerThe game does support multi-player in the form of Vs mode. Vs mode has the player competing against a computer or friend. </div>  <div> Magic/Items : In order to earn magic, the player must create combos by using power pieces (Tetrominoes). Getting a combo of eliminating 20 pieces or more should do the trick. Magic can be used to remove a large amount of pieces from the sphere all at once. Once enough magic has been collected, items will appear near the timer. Here are the items that be earned with enough magic:Firecracker: Eliminates a small section of pieces on the sphere.Bundle O' Dynamite: Gets rid of pieces that are in a spread.Electro Magnet: Pulls pieces away from the sphere like a magnet.Atom: Literally peels the top layer of the sphere like an orange.Bomb: Eliminates a great amount of pieces.Ray Gun: Cuts though and removes pieces though the core. </div> "
Tigger's Honey Hunt,DokiDenki Studio,NewKidCoNAUbi SoftPAL,1-Nov-00,n64,Winnie the Pooh decides to have a party for his friends but needs more honey. He asks Tigger to help him collect enough honey pots.,3030-18825,18825,0,9/29/2000,https://www.giantbomb.com/tiggers-honey-hunt/3030-18825/,ESRB: E," <div> Overview : Tigger's Honey Hunt is an action/platforming game developed by Doki Denki Studio and published by both Buena Vista Games and NewKidCo for the Nintendo 64, PC, and PlayStation platforms. </div>  <div> Story : One summer day Pooh decides that he wants to throw a party for all of his friends. As Pooh is thinking about this party he decides that he needs a lot of honey for the party. While Pooh is trying to figure out how he is going to gather enough honey pots Tigger comes crashing into his house.Pooh Bear then has an idea and asks Tigger if he will venture out and collect as much honey as he can for the big party. Tigger agrees and sets out to find the honey. </div>  <div> Gameplay : The main story mode of the game is called Tigger's Adventure Game. This mode is where the player takes control of Tigger and tries to collect honey. This section of the game plays like a platforming game and must collect a set number of honey pots in order to advance.  </div> "
Tom Clancy's Rainbow Six,Red Storm EntertainmentSaffire,Red Storm Entertainment,17-Nov-99,n64,"Tom Clancy's Rainbow Six puts the player in charge of an elite international team of counter terrorist operatives in a title that emphasizes planning, stealth, and tactics.",3030-7887,7887,0,8/21/1998,https://www.giantbomb.com/tom-clancys-rainbow-six/3030-7887/,ESRB: T," <div> Summary :  Tom Clancy's Rainbow Six in a 1998 video game based on the novel bearing the same name by author Tom Clancy. The video game shares many themes with the novel, including a heavy emphasis on terrorism and anti-terrorism, covert operations, and international politics. Rainbow Six has been ported to many consoles following its original PC release. Depending on the console, Rainbow Six is played in either a first-person or third-person perspective, allowing players to take the role of a covert anti-terrorist heading into action and giving commands to teammates in order to tactically defeat the enemy. The PC version was developed and published by Red Storm Entertainment, except in Europe where it was published by Ubisoft.   </div>  <div> Story :  Team Rainbow is an elite international group of anti-terrorist experts, covertly sent on missions around the world in an attempt to smother out the flames of rising terrorism. The team is often assigned hostage rescue missions from director John Clark, during the course of which Rainbow is alerted to the actions of a radial terrorist organization the Phoenix Group. During several mission infiltrating the many bases of operation for the Phoenix Group, team Rainbow successfully gathers intelligence from the Phoenix Group’s biological research facility. It is revealed that the terrorist organization is planning to unleash a biological weapon at the 2000 Summer Olympics in Sydney, Australia. Team Rainbow immediately prepares to infiltrate the large underground network of the Olympic Village, seeking the location of the weapon, and thwarting the Phoenix Group’s plans. The Rainbow Team concludes it’s mission against the Phoenix Group by entering the group’s main facilities, resembling an ecosphere for botanical and viral research. Team Rainbow successfully incapacitates the enemy leader, taking out a major threat to world peace.   </div>  <div> Gameplay :  The gameplay in Rainbow Six forces players to strictly plan each mission, examining every tactical angle before thrown into action. Levels are prefaced with briefings that provide the player with a map of the area, suspected locations of terrorists and hostages, and entry and exit points. The player is encouraged to plot their own waypoints on the map, while choosing different alert status for the team (i.e, “escort” or “engage”). However, stock execution plans are available in the player chooses to bypass the planning stage. Four teams are at disposal to the player, one of which is in direct control through either first person or third person view. Sixteen individual members comprise Rainbow Six, each of which can be either promoted or assigned to different color coded teams, such as Gold, Red, Blue and Green. Once the mission has begun, players have access to the wide range of weapons chose during planning. For example, flashbangs temporarily debilitate enemies, which is the player’s advantage when approaching guarded hostages. The player also has the ability to advance other teams in the field, either by switching the control and view to a different colored team, or executing Go-Codes such as “Advance” or “Hold Position.” When a team member of Rainbow is incapacitated by the enemy, vital signs display the status of the downed member. If a member has been killed, he or she will be unavailable for the roster for the remainder of the game. Incapacitated members must wait to recover at least one following mission before returning to action.   </div>  <div> Multiplayer :  Rainbow Six is notable for it’s online multiplayer during a time when internet gaming was in its early stages. Many maps were multiplayer specific for the PC, such as City Street Large, a training level.  Multiplayer on the console was limited to split screen co-op gameplay. Each player controlled one of the colored Rainbow teams, coordinating infiltration of dangerous areas and evacuation of multiple hostages.    </div>  <div> Different Versions :  The Nintendo 64 version made use of nearly every button on the controller, forcing players to constantly switch between the middle and left handle. Aiming was controlled with the analog stick, for example, while reloading was designated to the left shoulder button. The Nintendo 64 version received both criticism and praise for this control scheme, as critics cited the layout’s awkwardness, while the positive reviews noted a parallel to real world actions. It was developed by Saffire. The Dreamcast version was developed by Pipe Dream Interactive and published by Majesco. The Game Boy Color version was developed by Crawfish Interactive and published by South Peak.    </div>  <div> PC Requirements :  Windows 95/98; Pentium 166 (Min.), Pentiom 200 (Rec.); 4x CD-ROM drive (Min.); 16Mb RAm (Min.), 32 MB (Rec.); 16-bit SVGA or better (2D video); Direct 3D compatible hardware acceleration reccomended; Soundblaster 16 compatible; 100MB free hard drive space; Mouse & Keyboard. </div> "
Tom and Jerry: Fists of Furry,VIS Entertainment,Ubi SoftPALNewKidCoNA,12-Nov-00,n64,"Tom and Jerry fight it out in this game. They are joined by friends and enemies like Spike, Tike, Nibbles, and Butch. Fight your friends in two player mode and find out who is the greatest of all.",3030-8995,8995,0,11/12/2000,https://www.giantbomb.com/tom-and-jerry-fists-of-furry/3030-8995/,ESRB: E,
Tonic Trouble,Ubi Soft Montreal,Ubi Soft,31-Aug-99,n64,"Tonic Trouble is based on the Rayman series; it is a traditional 3D platformer. Released August 31 1999, and released on the N64, PC and GBC. Developed by Ubisoft Montreal, RFX Interactive (GBC version), published and distributed by Ubisoft.",3030-11027,11027,0,8/31/1999,https://www.giantbomb.com/tonic-trouble/3030-11027/,ESRB: E," <div> Overview : Tonic Trouble is based on the Rayman series; it is a traditional 3D platformer. Released August 31 1999, and released on the N64, PC and GBC. Developed by Ubisoft Montreal, RFX Interactive (GBC version), published and distributed by Ubisoft. </div>  <div> Story : The premise of the story is that Ed the main protagonist finds a weird liquid substance which in turn he decides to drink, but it tastes terrible. So Ed throws the strange liquid away, after which it manages to come to earth where it is stumbled upon by a man named Grögh.Grögh comes to enjoy the power (making man made or organic objects come to life) of this strange substance. Ed’s superiors find out about this and order Ed to travel to earth and bring back the substance with the help of a scientist and his daughter, Doc and Suzie. Ed eventually navigates his way to Grögh’s castle where he defeats him and obtains the substance. </div>  <div> Gameplay : Tonic Trouble is similar to the Rayman series, where you travel around levels eventually concluding with a boss battle after which the level concludes. Control mechanics for Tonic Trouble a poorly designed as well as the game itself, for the reason that it was ported from the PC to the N64 which led to poor rendering during gameplay and cut scenes. </div>  <div> Characters :  Agent Ed : Ed is an alien; good but a little bit stupid. He has to repair his disaster. He is voiced by David Gasman. Suzy : She is the daughter of the Doc and Ed's girlfriend. She is helping Ed in his adventure. The Doc : Once free, the Doc helps Ed to go to Grögh's Castle to get his can back by inventing a machine. Grögh : Grögh is the main antagonist of the game, he is now the master around the world and Ed must stop his reign. Agent Xyz : Another character who helps Ed; this is a newspaper guy who explains to Ed how to get through his adventure.  </div> "
Tony Hawk's Pro Skater 5,Edge of Reality,Activision,29-Feb-00,n64,"The last game in Activision's Tony Hawk series of skateboarding games, aiming to bring the series back to its ""Pro Skater"" roots.",3030-48191,48191,0,9/29/2015,https://www.giantbomb.com/tony-hawk-s-pro-skater-5/3030-48191/,ESRB: T," <div> Overview : Tony Hawk’s Pro Skater 5 is a skateboarding game developed by Robomodo (in conjunction with Disruptive Games) and published by Activision for the Xbox One and PlayStation 4 on September 29, 2015. It was later ported by Fun Labs for the Xbox 360 and PlayStation 3 on December 15, 2015.The tenth main installment of the Tony Hawk series, Pro Skater 5 aimed to bring the series back to its earlier ""Pro Skater"" roots by omitting a story-based campaign and certain gameplay mechanics (such as dismounting from the skateboard). Similar to Tony Hawk's Pro Skater 4, players navigate each level in a ""Free Skate"" fashion and earn experience points and rewards by completing missions scattered throughout. It uses an updated version of the game engine used in Tony Hawk's Pro Skater HD.Like previous games in the series, Pro Skater 5 includes special guest characters. For this entry, King Graham (from King's Quest) and rapper Lil Wayne are included (with fellow rapper Tyler, the Creator and the Teenage Mutant Ninja Turtles added post-release). Characters from other games are also available as character customization options, including Octodad (from Octodad: Dadliest Catch).It is the last game in the series to be published by Activision (as their licensing deal expired shortly after release). The game was known for being rushed into completion (likely due to the licensing deal expiration), with the game being mostly unplayable without a large day-one patch. It is also the last game from Robomodo. </div>  <div> Skaters : Tony HawkRiley HawkNyjah Huston (new to the series)Leticia Bufoni (new to the series)Aaron “Jaws” Homoki (new to the series)Ishod Wair (new to the series)David GonzalezLizzie Armanto (new to the series)Chris ColeAndrew ReynoldsKing Graham (unlockable, guest character from King's Quest)Lil' Wayne (guest character)Tyler, the Creator (added post-release, guest character)Leonardo / Donatello / Michelangelo / Raphael (added post-release, guest characters from Teenage Mutant Ninja Turtles) </div>  <div> Levels : The BerricsBonfire BeachSchool IIIMega ParkRooftopsThe BunkerAsteroid BeltMountain (added post-release)Wild West (added post-release)The Underground (added post-release) </div>  <div> Soundtrack : Anti-Flag - ""Stars and Stripes""Atmosphere - ""Southsiders""Black Pistol Fire - ""Hipster Shakes""Bully - ""Milkman""Cloud Nothings - ""I'm Not Part of Me""Cold Cave - ""A Little Death to Laugh""Connie Price and the Keystones - ""International Hustler""Crass Mammoth - ""All 149""Deaf Poets - ""Degenerate Mind""Death - ""Keep on Knocking""Death From Above 1979 - ""Virgins""Deer Mother - ""When the Wolves Come Out""Doomtree - ""Minibrute""Fake P - ""Rorschach""Family Force 5 - ""Raised by Wolves""Four Year Strong - ""Go Down in History""Harlan - ""Moment to Myself""Hundred Visions - ""Our Ritual""Hungry Hands - ""Highline""Icons for Hire - ""Cynics and Critics""Killer Be Killed - ""Wings of Feather and Wax""New Politics - ""Everywhere I Go""Plague Vender - ""Black Sap Scriptures""Ratatat - ""Cream on Chrome""Rattblack - ""Skate Rock""Royal Blood - ""Little Monster""State Champs - ""Secrets""Temples - ""Shelter Song""The Orwells - ""Who Needs You""The Schitzophonics - ""Rat Trap""The Sheds - ""Bad Things are Bad""Yogi & Skrillex - ""Burial"" </div> "
Tony Hawk's Pro Skater 2,Edge of Reality,Activision,21-Aug-01,n64,"Tony Hawk's Pro Skater returns with new levels, skaters, gameplay mechanics (including the introduction of the Manual), and the ability to create custom skaters and levels.",3030-990,990,0,9/20/2000,https://www.giantbomb.com/tony-hawks-pro-skater-2/3030-990/,ESRB: T," <div> Overview : New ground moves in Tony Hawk's Pro Skater 2.Tony Hawk's Pro Skater 2 is a skateboarding game developed by Neversoft and published by Activision for the PlayStation on September 20, 2000. Sequel to Tony Hawk's Pro Skater and the second installment of the long-running Tony Hawk franchise, Tony Hawk's Pro Skater 2 adds new skaters and levels while introducing new gameplay elements (such as new Grind Tricks and the Manual, an on-ground trick that allows players to continue trick chains while on the ground), a character creation system, and a level editor to the series. The game also includes an improved career mode, raising the number of objectives per level while replacing the ""collecting videotape"" system with a currency system (in which players can buy upgrades with cash collected, while new levels are unlocked by the total cash collected).The game was ported to the PC on October 31, 2000 (by LTI Gray Matter), the Dreamcast on November 6, 2000 (by Treyarch), the Nintendo 64 on August 21, 2001 (by Edge of Reality), and all iOS devices on April 2010 (by Activision). The PC version adds three levels from the predecessor, while the Nintendo 64 version replaced Chopper Drop with the Hoffman BMX Factory from Mat Hoffman's Pro BMX and removed some of the soundtrack (likely to reduce the ESRB rating from ""T"" to ""E""). An updated version of Tony Hawk's Pro Skater 2 was later released for the Xbox on November 14, 2001 (by Treyarch) titled Tony Hawk's Pro Skater 2x (remaking all levels from the first two Tony Hawk games while adding four-player split-screen and system link multiplayer and gender selection in the character creation mode). Most of the assets of Tony Hawk's Pro Skater 2 is included Tony Hawk's Pro Skater HD for the Xbox 360 (via Xbox Live Arcade), PlayStation 3 (via PlayStation Network), and PC (via Steam).Handheld versions were released on both the Game Boy Color on November 2000 (developed by Natsume) and the Game Boy Advance on May 30, 2001 (developed by Vicarious Visions). Both games are played in a 2D isometric viewpoint, and feature many elements from the console versions. The action on the Game Boy Color is primarily horizontal on the screen (while the player can also navigate the open-world vertically). The Game Boy Advance version is more faithful to the original game, replicating the levels, graphics, and gameplay.Tony Hawk's Pro Skater 2 is the first game in the franchise to feature crossover characters as hidden playable skaters. Spider-Man, a superhero from the Spider-Man franchise) appears as a hidden unlockable skater. </div>  <div> Gameplay Enhancements : While THPS2 did not introduce any new gameplay modes, it added a series of new features that turned into meaningful additions to the franchise. These start with the Create-A-Modes. </div>  <div> Levels : Create-A-Skater editor menu.Tony Hawk's Pro Skater 2 added the ability to create a skater, allowing the player to progress through the Career Mode (as well as the game's other various modes) as an avatar or a custom-edited character. The mode allowed a then-large amount of options for this character's appearance and allowed the user to distribute stat points wherever they pleased as opposed to THPS1's forced stat growth.An example of a custom gapThe ability to assign custom tricks was also given, allowing the player to re-write any of the default moves' combinations as well as assigning custom special tricks that could be unlocked and assigned to any specific combination of buttons. Special tricks can either be unlocked throughout the game or by purchasing them with cash acquired in the game's career mode. Flip tricks, grab tricks, grind tricks and a limited amount of manuals (also assigned to the Grind button) compiled the variety of special tricks the player could assign. </div>  <div> Characters : The Park Editor's toolsetAlso a new addition was the Park Editor, which allowed players to edit their own custom skateparks with a variety of tools, objects and obstacles. It is grid based and has four distinct themes (Power Plant, Industrial, School, Outside), each changing the appearance of the level and it's objects. The park's size can also be edited according to width and length. The object categories are as follow:CategoryDescriptionStartsSpawn points for Player 1, 2 and HORSE start points.Gap ToolTool to set gaps.RisersElevated platforms varying in size and height.Quarter PipesDifferent set of sizes and heights for quarter pipes. There are two sets: metal QPs and wooden QPs.RailsGround-based rails for grinding. There are two sets: centered rails and offset rails.WallsLow-height walls that can be used as grind surfaces.SlopesSlanted platforms that act as jumps and/or surfaces to ride up heightened terrain.StairsSelf-explanatory, they vary in size and stair count.PoolsLarge, empty pool surfaces. These vary in shape and size.FunboxesHeightened platforms generally surrounded by slopes. These can be custom built using risers and slopes, though the selection in this category usually includes funboxes from single-player levels and specially-shaped sets.KickersSimilar to slopes, though slightly slanted upwards to act as a boosted jump.BenchesBenches, bleachers and other contraptions of the sort.SignsStreet/Publicity signs that can act as grinding/wallride surfaces.FloorPatters/textures that can be applied to the ground surface, such as the Neversoft logo, grass, dirt and pavement.FoliageA selection of trees, planters and flowerbeds.MiscA large wall structure or a steel pillar.The Park Editor mode also contained a handful of previously-made parks from the team at Neversoft, giving the user some ideas as to where to start when editing a park.New grind tricks.Probably the most meaningful change to Tony Hawk's Pro Skater 2 is the addition of the manual, a move that allows player to link tricks together to build up larger combos. Manuals are performed by pressing up and then down on the directional inputs. Pressing down and up will perform a nose manual. During a manual, the player must balance themselves according to the on-screen balance meter. Pressing up and down on the directional inputs will balance the player in the according direction. The longer the manual goes on, the harder keeping balance will become. Spending stat points into the ""Manuals"" section of the statistics screen will make manuals easier to keep going across further distances. Manuals can be performed after street tricks, such as ollies, flip tricks, grabs or grinds but never after a vert trick. It is possible to link a street combo into a vert trick, however.A less impactful, although useful during large combo sequences, addition are the added grind tricks to the game's move list. These can be performed by double-tapping in a direction before hitting the Grind button. Example being the Bluntslide, performed by double-tapping down, then hitting the Grind button before hitting a rail. Other grinds include the Overcrook, Crooked and Nosebluntslide grind.Cash CollectablesCash is the new method of progressing through the game's career mode. Completing goals on the Goal List during career mode will earn the user Cash, which unlocks new levels. Cash that is earned can be spent to purchase new decks, stat points or special tricks. Additionally, each level contains a set number of Cash icons to collect, allowing for further stat-building and unlocks. Easier icons are worth less and hidden or hard to find icons are worth significantly more. Stats will cost more after each point purchase and better decks and tricks will cost much more, so finding these cash icons in each level is encouraged for building a better character. </div>  <div> Soundtrack : HangarLocation: Mullet Falls, MontanaHangar is situated in an enclosed airplane hangar. It features a large roll-in drop, a wooden half-pipe, a secret half-pipe located in a wind-tunnel and an active helicopter that, when the player grinds its chopper blades, takes off, destroys part of the roof and opens a hidden, outdoor area.This level is featured in Tony Hawk's Pro Skater HD.ObjectivesObjective NameDescriptionCash RewardHigh ScoreObtain a score of 10,000 points$100Pro ScoreObtain a score of 25,000 points$200Sick ScoreObtain a score of 75,000 points$500Collect S-K-A-T-ECollect the SKATE letters$150Barrel HuntRun into 5 scattered barrel stacks$150Collect 5 Pilot WingsCollect 5 floating pilot emblems$250Nosegrind Over the PipeNosegrind over the arching rails on the wooden half-pipe$150Hit 3 Hangtime GapsOllie over 3 special gaps$150Find the Secret TapeCollect the hidden tape$150100% Goals and CashComplete all prior goals and collect all cash icons$200School IILocation: Southern California, CaliforniaSchool II is set in a college campus. It features large, open street areas, a secret indoor pool/gymnasium complex and a variety of campus walkways. It's most notorious feature is the gigantic set of stairs located at the start of the level that can be grinded down or jump off the high-perched area to score one of the hardest gaps in the game, titled ""Leap of Faith"".This level is featured in Tony Hawk's Pro Skater HD.ObjectivesObjective NameDescriptionCash RewardHigh ScoreObtain a score of 15,000 points$200Pro ScoreObtain a score of 40,000 points$350Sick ScoreObtain a score of 100,000 points$500Collect S-K-A-T-ECollect the SKATE letters$400Wallride 5 BellsWallride over 5 bells$500Collect 5 Hall PassesCollect 5 floating hall passes$400Kickflip TC's Roof GapKickflip from one low-rise roof to another, also called ""TC's Gap""$400Grind 3 Roll Call RailsGrind 3 rails known as the ""Roll Call!"" rails$500Find the Secret TapeCollect the hidden tape$500100% Goals and CashComplete all prior goals and collect all cash icons$500MarseilleLocation: Marseille, FranceMarseille is the first of three competition arenas. It features a very small street area, multiple bowls and a large quarter-pipe filled lower area. It features a secret area that can be accessed by running into a wooden plank holding down one of the trees on the left side of the level. The tree collapses into a nearby wall, revealing a pit that, when entered, gives access to a large underground area filled with rails, quarter-pipes and a fountain.This level is featured in Tony Hawk's Pro Skater HD.New York CityLocation: New York City, New YorkNew York City is set in a urban area of NYC. It features a water-side park, city streets with taxis driving on them, a multitude of park-like plazas, an overhead subway rail and a very large re-creation of the Bronx, a famous real-life skate spot. This area is locked from the beginning, requiring the player to collect subway tokens to unlock access to the subway rails which then allows access to the park.ObjectivesObjective NameDescriptionCash RewardHigh ScoreObtain a score of 20,000 points$750Pro ScoreObtain a score of 50,000 points$1000Sick ScoreObtain a score of 150,000 points$1250Collect S-K-A-T-ECollect the SKATE letters$800Ollie the HydrantsOllie over 3 fire hydrants$700Collect 5 Subway TokensCollect 5 floating subway tokens$80050-50 Joey's SculptureDo a 50-50 grind on a triangular sculpture$900Grind the Subway RailsGrind the subway rails. Requires the ""Collect 5 Subway Tokens"" goal to be complete$1100Find the Secret TapeCollect the hidden tape$1200100% Goals and CashComplete all prior goals and collect all cash icons$500Venice BeachLocation: Venice, CaliforniaVenice Beach is set in a beachside park. There are very large, open street areas featuring jumps, rails, ledges, benches and tables as well as a host of quarter-pipes, rooftops and half-pipes.This level is featured in Tony Hawk's Pro Skater HD.ObjectivesObjective NameDescriptionCash RewardHigh ScoreObtain a score of 40,000 points$1500Pro ScoreObtain a score of 100,000 points$1750Sick ScoreObtain a score of 200,000 points$2000Collect S-K-A-T-ECollect the SKATE letters$1250Ollie the Magic Bum 5 TimesOllie a bum that will teleport after each subsequent ollie 5 times$1500Collect 5 Spray CansCollect 5 floating paint spray cans$1250Tailslide Venice LedgePerform a Tailslide on a ledge on one of the beachfronts$1000Hit 4 VB TansfersOllie over 4 gaps, also called the ""VB Transfers""$1500Find the Secret TapeCollect the hidden tape$1250100% Goals and CashComplete all prior goals and collect all cash icons$500SkatestreetLocation: Ventura, CaliforniaSkatestreet is the second competition stage as well as a real-life location, held as a landmark of skateboarding culture by enthusiasts. It features a large street area with an equally-large vert area including a rectangular-shaped bowl, a massive half-pipe, and a below-ground half-pipe that is connected to one of the park's wall.In 2005, the park's founder passed away in a motorcycle accident and the skatepark was subsequently closed.PhillyLocation: Philadelphia, PAPhilly is set in a urban park and is also a real-life location. It's actual is LOVE Park. To avoid copyright infringements, they changed the famous sculpture to 'THPS', the series' acronym. The level features a large fountain, several rails, stair gaps, ledges, gaps and jumps. The level also features an accurate representation of FDR Skatepark. It is a mostly-vert concrete skatepark.ObjectivesObjective NameDescriptionCash RewardHigh ScoreObtain a score of 50,000 points$2500Pro ScoreObtain a score of 125,000 points$3000Sick ScoreObtain a score of 250,000 points$4000Collect S-K-A-T-ECollect the SKATE letters$2000Drain the FountainHit a valve hidden on rooftop to drain the large fountain$2500Collect 5 BellsCollect 5 floating bells$2000Bluntslide the AwningPerform a bluntslide on a blue awning$2000Liptrick 4 Skatepark LipsPerform liptricks on 4 separate vert lips$2500Find the Secret TapeCollect the hidden tape$2000100% Goals and CashComplete all prior goals and collect all cash icons$500BullringLocation: MexicoThe Bullring is the third and final competition level.It is a half-vert, half-street level complete with quarter-pipes, funboxes, ledges and gaps as well as a massive half-pipe attached to a loop structure. Much like the name implies, the level is built inside a bullring, where a bull runs around leaving piles of poo behind.Chopper DropLocation: HawaiiChopper Drop is one of two secret levels.It features a half-pipe built on a platform out in the ocean. The player drops from an airborne helicopter onto the half-pipe which features a jump at the end of the platform.Skate HeavenLocation: SpaceSkate Heaven is the second secret level. It is set in ""heaven"" which, of course, is in space. It features an inane amount of skateboarding structures like half-pipes, bowls, stairs, rails, gaps, ledges, rails, benches, snake-runs, tunnels and flatland areas. The level is built around a volcano and if the player hops out of the level, an ominous voice (Most likely to symbolize God) either laughs at the player or proclaims ""You suck"" . In the Game Boy Color version, the volcano is absent, but there are different colored nebulas in the distance instead. </div> "
Tony Hawk's Pro Skater 3,Edge of Reality,Activision,20-Aug-02,n64,"Tony Hawk's Pro Skater 3 brings the skateboarding franchise to the sixth generation of game consoles, bringing new levels, new skaters, new tricks (such as hidden trick variations and the Revert), and online multiplayer.",3030-5688,5688,0,10/28/2001,https://www.giantbomb.com/tony-hawks-pro-skater-3/3030-5688/,ESRB: E," <div> Overview : Now you can skate with your friends!Tony Hawk's Pro Skater 3 is a skateboard stunt riding game developed by Neversoft and published by Activision (under their Activision o2 label) for the PlayStation 2 (on October 28, 2001), GameCube (on November 18, 2001 as a launch title), and Xbox (on March 4, 2002).The third installment of the long-running Tony Hawk franchise and the sequel to Tony Hawk's Pro Skater 2, Tony Hawk's Pro Skater 3 adds a new roster of skaters and new trick types (including the ""revert"", a trick that can be executed to continue a Vert combo chain once the skater hits the ground). Career Mode has been updated (removing the currency system from THPS2) while the PS2 and GC versions support online multiplayer for up to four players.The game was ported to the PlayStation in October 29, 2001 (by Shaba Games), PC in March 28, 2002 (by Gearbox), Nintendo 64 in August 20, 2002 (by Edge of Reality as the last official release for the system), and Mac in January 2003 (by Gearbox). The PS1 and N64 versions run on a slightly-modified version of the engine used in THPS2, changing the levels to fit the memory capacity. Handheld versions were released on both the Game Boy Color on November 15, 2001 (developed by HotGen) and the Game Boy Advance on March 4, 2002 (developed by Vicarious Visions), both of which are played in a 2D isometric viewpoint.Like Tony Hawk's Pro Skater 2, this game features crossover characters from different franchises as playable skaters. Darth Maul (a Sith apprentice from the Star Wars franchise), Wolverine (a superhero from the X-Men franchise), and Kelly Slater (a surfer from Kelly Slater's Pro Surfer) are included as hidden unlockable skaters. The PC version of the game features Doom from Quake III: Arena (as Doom Guy).Some of the levels were later released as downloadable content in the 2012 downloadable game Tony Hawk's Pro Skater HD (for the Xbox 360, PlayStation 3, and PC). </div>  <div> Gameplay : The revert is a move that allows players to link vert tricks into a new or in-progress combo. It is a flatland trick that is performed immediately when landing off of a vert surface like a quarter-pipe or pool lip. The more times it is used in a single combo, the slower the player's speed will be when exiting the revert. To link vert tricks into a combo, a manual must be performed immediately after the revert animation. </div>  <div> Game Modes : Despite Tony Hawk's Pro Skater 2 featuring large, open-ended levels, THPS3 used it's current generation of systems' power to its advantage and brought the large-scale environments to life. Areas were now filled with NPCs, moving cars that would stop at obstacles, complex animated objects and real-time level shifting. Every level in THPS3 features a large or minor-scale change that can be triggered through the player's actions and either unlocks a previously hidden area or completely changes a part of the level altogether. These could either be part of a level goal or simply a hidden secret for the player to discover. </div>  <div> Levels : One other major addition to the game was the Trick Modifier system. This is a system that has been with the franchise since, although being refined in THPS4 and perfected in Tony Hawk's Underground. The trick modifier system are ""Hidden moves"" that can be performed by actions on the face buttons. For example, hitting the button combination for a kickflip while hitting the flip trick button twice will perform a Double Kickflip. Hitting it three times will perform a Triple Kickflip. Though THPS3 refers to them as Hidden Moves (An on-screen pop-up appears with a bonus score being awarded), they have become the standard in the series for performing modified versions of standard tricks. </div>  <div> Secrets : A breakthrough addition to the series is the addition of online multiplayer. This would later be refined in later entries of the franchise but the base concept remains the same. The game allows for up to 4 players in one lobby and drops them in a Free Skate session. The host then decides which game type will be played. The various game types can be found below. Players could either play through a Broadband connection or, on the PlayStation 2 and GameCube, a dial-up connection. </div>  <div> Soundtrack : Tony Hawk's Pro Skater 3 features a wide variety of game modes thanks to the addition of Network Play. Some new, some returning from past entries. </div> "
Top Gear Hyperbike,Snowblind Studios,Kemco,27-Mar-00,n64,,3030-9586,9586,0,3/21/2000,https://www.giantbomb.com/top-gear-hyperbike/3030-9586/,,
Top Gear Overdrive,Snowblind Studios,Kemco,23-Nov-98,n64,,3030-15563,15563,0,11/23/1998,https://www.giantbomb.com/top-gear-overdrive/3030-15563/,,
