Title,Developer,Publisher,Release date North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,description,game_rating
Kirby's Pinball Land,HAL Laboratory,Nintendo,November 1993,gb,Kirby meets pinball on the Game Boy.,3030-14646,14646,0,1993-10-29,https://www.giantbomb.com/kirbys-pinball-land/3030-14646/," <div> Gameplay : Boss fights, pinball-style.Kirby's Pinball Land is a pinball game starring  Kirby and many familiar characters from the Kirby series. The object of the game is to take Kirby to the top of three separate pinball tables themed after a stage from  Kirby's Dream Land. Each table has three individual floors. The only way to lose a life is to fall through the bottom of the third floor and fail to return by bouncing off of the springboard located underneath each table. By reaching the top of the table and finding a warp star Kirby will be taken to a fight against that table's boss. There are three different bosses: Whispy Woods The Poppy Bros. KrackoOnce Kirby has defeated all of them he will be taken to a fight against  King Dedede. Defeating him will start the game over again, allowing Kirby to return to each of the three tables once more and build up an even higher score. </div> ",
Kirby's Star Stacker,HAL Laboratory,Nintendo,April 1997,gb,Collect stars by placing them between two matching friends in this Tetris-like block puzzler.,3030-10628,10628,0,1997-01-25,https://www.giantbomb.com/kirbys-star-stacker/3030-10628/," <div> Overview : Kirby's Star Stacker is a puzzle game where the object is to collect as many stars as possible. To do this, the player must sandwich the stars either vertically or horizontally between two identical friends. These friends are Rick, Kine, and Coo, Kirby's buddies from the ""Dream Land"" series.Kirby's Star Stacker was originally released for the Nintendo Game Boy in all regions in 1997. In 1998 a Japan-exclusive Super Famicom version became available on the Nintendo Power cart-writing service. The popularity of the game lead to a full retail version the following year, which was also one of the last games ever released for the system.Both versions are called Kirby no Kirakira Kizzu in Japan, which translates to Kirby's Sparkling Kids. The Super Famicom version of the game is commonly referred to as Kirby's Super Star Stacker outside of Japan. If considering this version as a separate game, it is the only game in the Kirby series not to have been released elsewhere. Despite a large interest among international fans of the series, it has not yet received a fan translation either, as all relevant text was coded using sprites instead of text that can be edited or rewritten through normal means.  </div>  <div> Gameplay : Objects fall from the sky in pairs of two. If the pile of friends and stars reaches the top of the gameplay area, the game is over. King DeDeDe's head sits on the right hand side of the screen. DeDeDe is there to make sure that Kirby makes as little progress as possible, and if he doesn't like what he sees, his head will turn into a fist. When this fist pounds down and shakes the screen, the level of blocks on the playing area will increase. Like in Tetris, if the blocks on the playing field reach to the top of the screen and no more can fit onto it without being pushed off the top, then the game will be over. </div>  <div> Game Modes : Creating a chain reaction will cause stars to fall from the sky. In other words, if deleting one pair of blocks causes another pair of blocks to be deleted, then more star blocks will fall from the top of the playing field and potentially create even more chain reactions, which will in turn cause even greater numbers of stars to drop onto the playing field. These star blocks always count towards the total score, and will always instantly disappear if they don't cause a reaction, preventing them from messing up the field. </div> ",CERO: A
Klax,Eastridge Technology,Mindscape,July 1991,gb,Players organize blocks of the same color to make them disappear.,3030-16455,16455,0,,https://www.giantbomb.com/klax/3030-16455/," <div> Overview : Players line up colored blocks into various patterns to make them disappear. Atari Games originally released it as a coin-op follow up to Tetris, which they were tangled in a legal dispute about at the time.There are actually two Genesis versions of the game. The first, released only in Japan, was ported by Namco who also published the game. The second was the standard Tengen version available on other platforms. </div>  <div> Gameplay : Klax features a conveyor belt at the top of the screen which rolls toward the playing area, delivering a steady supply of colored blocks. The player controls a small device which sits at the interface between the conveyor belt and the playing area. By moving this left and right, the player can catch up to five blocks and deposit them in the playing area. Blocks are dropped in order of recency, with the newest block dropped first. Similarly, the player may launch blocks back up the conveyor belt in an attempt to ""juggle"" them to get the appropriate color ready. </div>  <div> Blob Ball : A Klax is the simplest pattern of three matching blocks. Each pattern is a multiplier based on the number of Klaxes it is worth. Four matching tiles in a row, as an example, are worth two Klaxes. Points are scored based on pattern size. The more blocks which are simultaneously removed, the higher the score. Empty space at the end of the round is also scored. After each round, the player may skip 5 or 10 stages, which results in a higher score multiplier, and more available drops. Difficulty is similarly ramped up faster. Stages have unique challenges, such as forming a specific pattern a number of times (""complete 5 diagonals""). </div> ",ESRB: E
Knight Quest,Lenar,Taito Corporation,July 1992,gb,Knight Quest is a Role-Playing game for the Game Boy.,3030-6167,6167,0,,https://www.giantbomb.com/knight-quest/3030-6167/, <div> Overview :  Knight Quest is a Role-Playing game developed and published by   Taito for the  Game Boy. </div> ,
Krusty's Fun House,Audiogenic,Acclaim NA/EUAcclaim Japan JP,January 1993,gb,A puzzle strategy game in the Lemmings mold featuring characters from The Simpsons. Help Krusty rid himself of a rat infestation.,3030-12321,12321,0,1992-03-19,https://www.giantbomb.com/krustys-fun-house/3030-12321/," <div> Overview : Krusty's Fun House (or Krusty's Super Fun House) is a puzzle game in which Krusty the Clown, of The Simpsons fame, is trying to eradicate all the rodents in his titular fun house. The goal is to convince the rats to march towards the machines that will eliminate them (staffed by Bart and Homer Simpson, as well as Krusty Show characters Sideshow Mel and Corporal Punishment) by using objects found in the vicinity. Like the Lemmings from the series of the same name, the rats will simply follow a set of rules defined by their programming and the player can use this to anticipate their actions and plan accordingly in order to trap them.The game was based on Audiogenic's earlier Amiga game Rat-Trap, which was licensed out to Acclaim so they could turn it into a The Simpsons licensed game. Acclaim published the game on almost every platform imaginable at the time, sub-licensing the home computer versions to Virgin Games. </div> ",
KungFu Kickball,Irem,Irem JP/NANintendo EU,February 1991,gb,KungFu Kickball,3030-73052,73052,0,2022-02-09,https://www.giantbomb.com/kungfu-kickball/3030-73052/,,
Kwirk,Atlus,Atlus JPAcclaim NANintendo EU,March 1990,gb,"An Atlus-developed, Acclaim-published, block-pushing puzzle game for the original Game Boy. The game is known as Puzzle Boy in Japan.",3030-17079,17079,0,1989-09-24,https://www.giantbomb.com/kwirk/3030-17079/," <div> Overview : Kwirk is a very early puzzle game for the Game Boy. Known as Puzzle Boy in Japan the game was developed by Atlus Co., Ltd. and also published by them in Japan at the games September 24th 1989 release. The game was later released the following year in both the United States and Europe. In the US the game was published by Acclaim Games whereas in Europe Nintendo itself took upon the role of publishing the game.Kwirk is a sunglasses-wearing tomato whose girlfriend Tammy the Tomato disappears while they are out exploring. He then has to rescue her with the help of his vegetable friends: Curly Carrot, Pete the Pepper, Eddie Eggplant, and Sass the Squash.Atlus would later adapt the game (in color) for the Nintendo Famicom Disk System and NEC PC Engine. Both of these versions were Japan-exclusive. </div>  <div> Gameplay : Pushing blocks into holes makes paths for Kwirk.There are three different modes: Heading Up, Going Out, and VS Mode. Heading Up has the player navigating their way through mazes to climb an underground tower. Going Out is a score-attack mode that has the player navigating semi-random levels. The VS Mode requires a Game Boy link cable. All three modes involve the player (as Kwirk) manipulating blocks by pushing against them. There are two different kinds of blocks - rotating ones and ones that can be pushed into holes. Once the block falls into the hole it makes a path that can be crossed. Later levels have both of these blocks and require precision: any mistakes will force the player to restart the level. In levels with Kwirk's friends their help is often necessary for reaching the exit. </div> ",
Crazy Cars III,Titus Software,Titus Software,April 1994,gb,A racing sequel better known by the name Lamborghini American Challenge. Players challenge rivals in street races all across the USA in Lamorghini power cars.,3030-2074,2074,0,,https://www.giantbomb.com/crazy-cars-iii/3030-2074/," <div> Overview : Crazy Cars III is a MS-DOS racing sequel in the Crazy Cars series by Titus Interactive. It was renamed to Lamborghini American Challenge for many of its later releases, such as those for the Super Nintendo and Game Boy.The game is based around illegal street racing, and players can raise money by betting and racing against their rivals. The money can be spent on upgrading the player's car and on entry fees for races with a bigger prize pot. The game uses the ""behind the car"" perspective established by Sega's OutRun.  </div> ",
Last Action Hero,Bits Studios,Sony Imagesoft,October 1993,gb,Last Action Hero is a pinball machine based on the movie of the same name.,3030-34171,34171,0,,https://www.giantbomb.com/last-action-hero/3030-34171/,,
Lazlos' Leap,Hect,Hect JPDTMC NA,October 1992,gb,"Lazlos' Leap is a puzzle game, purported to have been designed by one Professor Lazlos, a ""mathematician and Game Boy player"". In Japan, it was released with the ultra-simple title ""Solitaire"".",3030-46872,46872,0,1992-06-26,https://www.giantbomb.com/lazlos-leap/3030-46872/,,
Umi no Nushi Tsuri,TOSE,Victor Interactive Software JPNatsume NA,August 1998,gb,A spin-off of the Kawa no Nushi Tsuri (Legend of the River King) series that moves the action from the river to the sea.,3030-45945,45945,0,1996-07-19,https://www.giantbomb.com/umi-no-nushi-tsuri/3030-45945/," <div> Overview : Umi no Nushi Tsuri (""Fishing the Sea Master"") is a fishing game in Pack-in-Video's Nushi Tsuri (usually localized as ""Legend of the River King"" or simply ""River King"") series, which combines traditional angling with RPG elements such as upgrading equipment and stats, and fighting turn-based battles with wild animals.This spin-off moves from ""Kawa"" (river) to ""Umi"" (sea), focusing on saltwater fish instead. As with other games in the series, the player can choose between multiple members of the same family as their protagonist, each of which has their own reason for fishing. It saw sequels for the Game Boy (Umi no Nushi Tsuri 2) and the PlayStation (Umi no Nushi Tsuri: Takarajima he Mukatte). </div> ",
The Legend of Zelda: Link's Awakening,Nintendo,Nintendo,August 1993,gb,A full remake of the Game Boy classic on Nintendo Switch.,3030-72148,72148,0,2019-09-20,https://www.giantbomb.com/the-legend-of-zelda-links-awakening/3030-72148/,,ESRB: E
Lemmings,Ocean,Imagineer JPOcean NA/EU,August 1994,gb,Sony Computer Entertainment Europe and Team 17 are responsible for this PSP installment of Lemmings.,3030-20594,20594,0,2006-05-23,https://www.giantbomb.com/lemmings/3030-20594/," <div> Overview : The most recent iteration of the Lemmings franchise, developed by Team 17 for the PSP. As with the other games, it tasks the player with guiding a horde of mindless lemmings though various treacherous levels by assigning them various abilities to help the reach the designated exit.In December 2012, a port of the game by d3t Ltd. was released as a freemium title on PlayStation Mobile. It adds touch controls, and provides the first 30 levels free, with the rest as paid DLC. </div> ",PEGI: 3+
Lethal Weapon,Eurocom,Ocean,April 1993,gb,"An action-platformer licensed game by Eurocom and Ocean, based on the 1992 comedy action movie sequel Lethal Weapon 3. Released on various consoles, there are small differences between each version.",3030-2896,2896,0,,https://www.giantbomb.com/lethal-weapon/3030-2896/," <div> Overview : Lethal Weapon is an action platformer game from Eurocom and was created to coincide with the third Lethal Weapon movie, which was released the same year. The cover art is taken from the movie poster for Lethal Weapon 3. The game includes elements from the movie (such as the antagonist Jack Travis and Joe Pesci's returning comic relief character Leo Getz) but doesn't closely follow the plot. </div> ",
The Lion King,Dark Technologies,Virgin Interactive,April 1995,gb,The Lion King is a platformer released in 1994 for a wide array of systems by Virgin Interactive.,3030-9186,9186,0,1994-06-24,https://www.giantbomb.com/the-lion-king/3030-9186/," <div> Overview : The Lion King is a action-adventure platformer based on the the famous Disney classic and it was released in 1994. Throughout the game, players follow the adventures of Simba, the main protagonist, and play through the same storyline as the film. The game consists of ten levels and two bonus levels, although some versions of the game were missing levels and various other features due to limitations of the hardware or software. The game received highly positive rankings and was considered ""one of the only good games based on a movie"". </div>  <div> Gameplay : The game is a linear platformer which has players going through level jumping, defeating enemies and solving an occasional light puzzle. On top of a classic style of jumping on enemies, Simba also has the ability to roar and cause different affects to foes. When Simba becomes an adult he gains the ability to slash and maul his foes. There is no save feature; losing all lives causes a restart of the game. </div>  <div> Story : Players control Simba, a young lion cub who faces much adversary after the death of his father (Mufasa) from the hands of his uncle, Scar. Simba gets tricked into believing that he his responsible for his father's death and is believed to be dead. He meets up with a meerkat and warthog and grows up in isolation outside of the Pride Lands. A wise monkey (Rafiki) gives him the ultimate power of speaking to the dead through drug-induced hallucination.This allows him to speak to his father who first he sees as his own reflection in a pond, he then looks to the sky as clouds form into his fathers image. Eventually he will return to Pride Rock to take his seat as king and avenge his father's death. </div>  <div> Simba's World (Levels) : The PridelandsCan't Wait to be KingThe Elephant GraveyardThe StampedeSimba's ExileHakuna MatataSimba's DestinyBe PreparedSimba's ReturnPride Rock </div> ",BBFC: 18
Disney's The Little Mermaid II,Capcom,Capcom,February 1993,gb,The video game adaptation of the Disney movie.,3030-38055,38055,0,2000-12-25,https://www.giantbomb.com/disneys-the-little-mermaid-ii/3030-38055/,,ESRB: E
Lock 'n' Chase,Data East,Data East,July 1990,gb,Lock 'n' Chase was an arcade game developed and published by Data East in 1981. It was seen as Data East's answer to Namco's Pac-Man.,3030-1739,1739,0,,https://www.giantbomb.com/lock-n-chase/3030-1739/," <div> Overview : The objective of Lock 'n' Chase to traverse the maze and collect as many coins as possible. The main character is a thief who must steal as many treasures as possible from the vault (the maze) without being caught by the Super D (the policemen), named Stiffy, Scaredy, Smarty and Silly. The thief can open and close doorways to trap and slow down the Super D but only two doorways may be closed at a time. Each coin is worth 20 points while money bags, which appear randomly in the center of the maze, are worth anywhere from 500 to 4000 points. Each level also has a specific treasure that will appear at the center of the maze that worth 200 to 500 points each. The treasures are different for every level and include a top hat, crown, briefcase and telephone.Upon its release in the United States, two different versions of the arcade cabinet were released. The more common, Data East cabinet featured its DECO cassette system which allowed for the cassettes to be switched to different games at ease. On the other hand, the much rarer, Taito cabinet featured a dedicated motherboard and was produced in very limited quantities. Only about 1200 are said to have been produced and Lock 'n' Chase was the last Taito game to feature this old style cabinet. Mattel later ported the game to the Intellivision, Atari 2600 and Apple II, with the Atari 2600 version later being re-released by Telegames. A Game Boy port was also developed by Data East. </div> ",ESRB: E
Looney Tunes World of Mayhem,Sunsoft,Sunsoft,October 1992,gb,"Battle with Bugs Bunny, Daffy Duck and everyone else from Looney Tunes.",3030-67894,67894,0,2017-05-30,https://www.giantbomb.com/looney-tunes-world-of-mayhem/3030-67894/,,
Loopz,Argonaut Games,Mindscape,March 1991,gb,Loopz is a simple puzzle game about making loops ,3030-20227,20227,0,,https://www.giantbomb.com/loopz/3030-20227/,,
The Lost World: Jurassic Park,Torus Games,THQ,December 1997,gb,A light gun game developed by Sega.,3030-22397,22397,0,,https://www.giantbomb.com/the-lost-world-jurassic-park/3030-22397/," <div> Overview : The Lost World: Jurassic Park is a light gun rail-shooter released for the arcade in 1997. It is the sequel to the light gun version of Jurassic Park. Two different cabinets were made, having cosmetic differences, but still being the same game. One was a standard upright cabinet, and the other was a sit down cabinet mimicking the feel of a jeep from the film, complete with a seat and the monitor acting as a windshield. The upright cabinet had the same housing and wiring as the original House of the Dead, and was swappable.  </div>  <div> Gameplay : Lost world was a standard first person on-rails shooter, dealing with shooting dinosaurs as they appear and reloading as necessary. Up to two players could play simultaneously across five different stages, each with separate paths depending on skill level. Each stage consisted of different dinosaurs, with the last stage having a T-Rex as a final boss. Endangered humans would have to be saved at certain points in the game, similar to House of the Dead, and saving them would grant life and weapon bonuses. </div> ",
Madden NFL '95,Halestorm,Malibu Games,November 1994,gb,A football game that has all the features of Madden NFL '94 and more.,3030-7715,7715,0,,https://www.giantbomb.com/madden-nfl-95/3030-7715/," <div> Overview : Madden NFL '95 is a football game for the 94/95 season of American Football presented by John Madden's virtual doppelganger. It is the The game takes the advancements of the prior games in the series and continues to tweak the rules, animations and graphics. The game features the NFL license and contains all 28 teams in the NFL at the time. The Genesis version also has the NFLPA license, allowing the use of real names for the athletes as well.The game would be followed by Madden NFL '96. </div> ",
Madden NFL 96,Halestorm,Black Pearl Software,October 1995,gb,The 1995 edition of the yearly EA football franchise. It was the first version to feature create-a-player.,3030-12957,12957,0,1995-11-10,https://www.giantbomb.com/madden-nfl-96/3030-12957/," <div> Overview : Madden NFL 96 is an entry in the EA Sports NFL-licensed annual Madden NFL series endorsed by commentator John Madden and covers the 95/96 season of the NFL. It was released on various 16-bit platforms in late 1995 and was the last Madden game to be exclusive to that generation. A Sony PlayStation version of the game was in development but cancelled before completion. Madden NFL 97 would instead be the PlayStation's first Madden game (as well as the Sega Saturn's).Among its various additions to the Madden NFL template was the inclusion of a ""create-a-player"" mode, which allowed players to create their own in-game avatars and add them to the teams of their choice. Players also now had the option of ""classic teams"", which brought back various famous line-ups from different points in the NFL's history between 1960 and 1986 and could be unlocked by winning the Super Bowl as that particular team's 1995 incarnation.  </div> ",ESRB: K-A
Madden NFL 97,Tiertex Design Studios,Black Pearl Software,November 1996,gb,The first Madden NFL football game to be released on 32-bit platforms.,3030-6279,6279,0,1996-09-15,https://www.giantbomb.com/madden-nfl-97/3030-6279/," <div> Overview : Madden NFL 97 is a football simulation game the seventh core entry in EA's Madden NFL series, endorsed and featuring sports commentator John Madden. The game was the first in the series to be released on the 32-bit generation, specifically the Sony PlayStation and Sega Saturn. It also saw releases for the SNES and Genesis like its antecedents. It's also the last Madden to be released on the Game Boy.It was also the first Madden game to include the Baltimore Ravens, which were established the same year. Similar to prior games, the player can select any of the active teams from the then-present season of the NFL as well as various ""classic"" teams from different points in NFL history. </div> ",ESRB: K-A
Demon,Sun L,Capcom,Cancelled,gb,"A freeware monster-collection roguelike developed by FerretDev.Org, playable on Windows, Mac OS X, and Linux. It is currently in Alpha, and new builds are released regularly.",3030-55073,55073,0,2014-05-23,https://www.giantbomb.com/demon/3030-55073/,,
Malibu Beach Volleyball,TOSE,Tonkin House JPActivision NA,March 1990,gb,"A simple Game Boy volleyball game, published by Activision.",3030-30536,30536,0,,https://www.giantbomb.com/malibu-beach-volleyball/3030-30536/,,
Marble Madness,Eastridge Technology,Mindscape,May 1991,gb,Everything you know is wrong in this classic marble-rolling arcade game.,3030-9566,9566,0,,https://www.giantbomb.com/marble-madness/3030-9566/," <div> Overview : Originally released as a trackball arcade game from Atari Games, Marble Madness was created, designed and programmed by developer Mark Cerny. The object is to guide a marble through a maze, avoiding obstacles along the way. Marble Madness' well-known soundtrack was featured in this first arcade cabinet to include stereo sound. It was the first game to be released on Atari's System 1 hardware, which allow arcade owners to convert a machine into another game with the changing of just a few different parts. The success of the game has led it to being ported to many systems such as the NES, Master System and the Commodore 64.Marble Madness, along with Archon and Deluxe Paint, were some of the first ""killer apps"" for the Amiga, and greatly contributed to the system's initial appeal and sales. </div>  <div> Gameplay : Marble Madness is played from an isometric third-person perspective. The object of the game is to maneuver a colored marble through several different courses in the constraints of a time limit. Each ends when the marble reaches an end goal (marked ""GOAL""). The player's marble carries momentum and a rudimentary physics model provides most of the challenge, as it is easy to fall off the side of the narrow courses.Finishing a course adds the remaining time to the limit placed on the next course. In the original arcade release, the player used a trackball to control the movement of the marble. Later home versions changed the controls to a directional pad or other control mechanism. The Amiga release is compatible with the Amiga Trackball.The marble is destroyed by falling off the course or by simply dropping too far onto another platform. In the event that the marble is shattered in a fall, a cartoon broom will appear and sweep the broken pieces away before respawning nearby. While there was no ""lives remaining"" counter, each fall or death wastes valuable time. Courses were designed in a manner that makes it extremely difficult to finish within the time limit if the player looses more than one or two marbles.As gameplay progresses, enemies and obstacles are introduced, raising difficulty. Challenges include moving platforms, catapults, a black ""enemy"" marble that would attempt to ram the player off the course, and even a course that must be run uphill instead of downhill. An option is also included which allows two players to race each other down any of the courses at the same time. </div> ",
Mario's Picross,Jupiter Corporation,Nintendo,March 1995,gb,"The first digital adaptation of the logic puzzle known as ""nonograms"", Mario's Picross tasks players with chipping away at a grid of tiles to reveal a rudimentary picture. Also, Mario is in it.",3030-6316,6316,0,,https://www.giantbomb.com/marios-picross/3030-6316/," <div> Overview : A 15x15 puzzle in Mario's Picross, where the final result resembles an actual Game Boy.Mario’s Picross (known in Japan as Mario no Picross) is a puzzle game developed by Jupiter (with Ape) and published by Nintendo for the Game Boy on March 1995 (in Japan and North America) and on July 1995 (in Europe).One of the earliest games by Japanese studio Jupiter (along with UNO 2: Small World), Mario's Picross is a digital collection of logic puzzles known as nonograms (or ""picture crossword puzzles"", hence the name ""Picross""), where players are given a square grid of tiles (5x5, 10x10, or 15x15) and must create a rudimentary picture by determining which tiles to darken (or ""chisel away"") based on the numerical clues of each row and column. Guiding them is the titular Nintendo mascot Mario, dressed as an archaeologist.As the earliest digital adaptation of the nonogram puzzle, Mario's Picross includes a unique hint-based system for improving the game's pace. When attempting a puzzle, players are given 30 minutes to complete it (otherwise having to start over) and are deducted minutes immediately after filling in the wrong tile. Players can also deduct minutes for receiving a ""hint"" (automatically filling in a random row and column), and can optionally receive a free hint at the beginning of the puzzle. The game includes 256 puzzles, split into four categories: Easy Picross, Kinoko Course, Star Course, and Time Trials (the latter of which is unlockable, uses the traditional no-hint system, and uses time-based scoring).International versions of the game are notable for having 10 unique puzzles, replacing puzzles that have cultural or drug/alcohol references. While the game received multiple sequels under the Picross name (including the console sequel Mario no Super Picross and the handheld sequel Picross 2), neither of them received a release outside of Japan until Picross DS 12 years later.The game was later digitally re-released as a Virtual Console title for the Nintendo 3DS on July 14, 2011 (in Europe), August 4, 2011 (in North America), and August 22, 2011 (in Japan). </div>  <div> Gameplay : Picross puzzles involve a square grid of cells where the player must determine which cells should be colored in (or in the case of this game chiseled away) and which should be left blank. Numbers along the top and left side of the grid indicate the number and size of unbroken lines of filled in cells there are in the given row or column that are separated by at least one blank cell. For instance, if a row has the numbers “2 5 4”, that means that there are from left to right, a group of two colored in cells, a group of five colored in cells, and a group of four colored in cells, with all other cells being left blank and at least one blank cell between each group.When a puzzle starts, the game gives the player the option of receiving a hint. If the player elects to be given a hint, one row and one column are randomly selected via roulette, and the solutions to those selected rows and columns are revealed. Each puzzle must be completed within a 30 minute time limit. Mistakes penalize the player by reducing the time left. The first mistake takes off two minutes, the second mistake takes off four minutes, and the penalty continues to double with each additional mistake. If the timer reaches 0:00 the player gets a Game Over and must start over. Players can mark cells that they know should not be filled in with an “X”. The game tracks the number of times each puzzle is attempted, the amount of time taken on the first completion of a puzzle, and the best completion time of a puzzle.The game offers a total of 192 puzzles to solve divided into three groups of 64. The first group is labeled as “Easy Picross” and is intended to introduce the game and how it is played. In the initial puzzles of this group, Mario explains the basic rules, techniques, and logic of Picross in order slowly initiate newcomers to the puzzle type. The puzzles in “Easy Picross” consist of 8 puzzles of size 5x5, 40 10x10 puzzles, and 16 15x15 puzzles. Experienced players have the option of skipping over this set of puzzles straight into regular “Picross” mode which contains the other two groups, labeled as the “Kinoko Course” and “Star Course”. The “Kinoko Course” steps up the challenge from the initial “Easy Picross” group and contains only 15x15 sized puzzles. The “Star Course” is only available after completing the “Kinoko Course” and it contains the most challenging puzzles in the game, all of size 15x15. </div> ",ESRB: K-A
Maru's Mission,TOSE,Jaleco,March 1991,gb,"Action platformer video game released by Jaleco for the Game Boy in 1991. Known in Japan as ""Oira JaJaMaru! Sekai Daibouken"", the title was released in 2012 for the Japanese and North American 3DS Virtual Console.",3030-37277,37277,0,,https://www.giantbomb.com/marus-mission/3030-37277/,,ESRB: E
Maui Mallard in Cold Shadow,Bonsai Entertainment,Sunsoft,August 1998,gb,Maui Mallard is out to collect him some Luau Loot in this mid-90s platformer.,3030-19990,19990,0,1995-12-08,https://www.giantbomb.com/maui-mallard-in-cold-shadow/3030-19990/," <div> Overview : Maui Mallard in Cold Shadow is a side-scrolling platformer from Disney Interactive Software for the Sega Genesis in 1995. It was released exclusively in Europe and Brazil, but would later become accessible to North America via the Sega Channel. The game was also ported to the PC, SNES and Game Boy in the following years. The SNES version was developed by Eurocom Entertainment Software instead. The game features Donald Duck in the role of Maui Mallard, a private detective, as he passes through a tropical island on a case to look for a missing idol. He occasionally transforms into Maui's alter-ego Cold Shadow, a ninja duck that uses his staff to traverse levels. While it is clearly Donald Duck in the guise of another character, the North American versions of the game make no reference to Donald and call him Maui Mallard throughout.In this platformer, the player controls Maui Mallard through a series of levels in which the goal is to collect as much of the scattered treasure as possible. Along the way, they must also avoid enemies and various environmental hazards (apparently water hurts this duck) </div> ",ESRB: K-A
Mega Man Legacy Collection 2,Japan System House,Capcom JP/NANintendo EU,February 1992,gb,The second Legacy Collection collects the remaining four numbered Mega Man games.,3030-59807,59807,0,2017-08-08,https://www.giantbomb.com/mega-man-legacy-collection-2/3030-59807/,,ESRB: E10+
Mega Man Zero 3,Minakuchi Engineering,Capcom JP/NANintendo EU,December 1992,gb,"Mega Man Zero 3 is generally similar to the past two Zero games, except that it had an added focus on explaining the events that occurred prior to the first Zero game.",3030-9497,9497,0,2004-04-23,https://www.giantbomb.com/mega-man-zero-3/3030-9497/," <div> Overview : Mega Man Zero 3 is the third game in the GBA-exclusive Mega Man Zero spin-off series of the main Mega Man franchise. As its name suggests, it focuses on the titular maverick hunter Zero a century after the events of the Mega Man X series.In this entry, set two months after Mega Man Zero 2, Zero is once again required to help the human scientist Ciel protect a new power source from his old enemy the Dark Elf, as well as taking on a powerful and enigmatic new foe named Omega and copies of his former comrade X.Mega Man Zero 3 was originally released on the GBA in Japan, North America and Europe in 2004. The game was later relaunched on the Wii U eShop Virtual Console in Japan, North America, Europe and Australia in 2015. It would also be followed with the fourth and final Mega Man Zero game, Mega Man Zero 4, in 2005. </div> ",ESRB: E
Mega Man Zero 4,Minakuchi Engineering,Capcom JP/NALaguna EU,December 1993,gb,"The final game in the Mega Man Zero series. While the Zero series was known for being challenging, the most notable feature of Zero 4 is the option to switch the difficulty mode.",3030-15108,15108,0,2005-04-21,https://www.giantbomb.com/mega-man-zero-4/3030-15108/," <div> Overview :  I'll take that, if ya don't mind.Mega Man Zero 4 (JP: Rockman Zero 4) is the fourth and final game in the Mega Man Zero series of Mega Man X spin-offs (Mega Man X itself being a spin-off) for the Game Boy Advance portable system. Some of the new features in MegaMan Zero 4 include Zero's new weapon, the Zero Knuckle. This replaced the Boomerang Shield of  the previous game, and serves as a memento of the Weapon-Get system used in the original Mega Man games, except instead of receiving the boss's weapon, Zero is able to take weapons away from the stage enemies and use them for a short period of time.The game was also re-released as part of the Mega Man Zero Collection for DS, along with the previous Zero games. It was also added to the Wii U's Virtual Console in all territories.  </div>  <div> Bosses :  Tech Kraken (Deep Sea) Fenrir LunaedgeFenrir Lunaedge (Hibernation Chamber) Popla Cocaperti (living City) Noble Mandrago (Underground Forest) Heat Genblem (Particle Beam) Sol Titanion (Artifical Sun) Pegasolta Eclair (Hanging Gardens) Mino Magnus (Magnetic Zone)Commander Craft (Ragnarok, Area Zero)Dr Weil ( Ragnarok Core)   </div> ",ESRB: E
Mega Man VRockman World 5 JP,Minakuchi Engineering,Capcom JP/NALaguna EU,"September 10, 1994",gb,,,,,,,,
