Title,Developer,Publisher,Release date North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
Mortal Kombat II,Sculptured Software,Acclaim Entertainment,"September 9, 1994",snes,"The second installment of one of the most violent fighting game franchises of all time, providing a smoother fighting system while adding new fighters, Fatalities, babalities, friendships, and much more.",3030-3571,3571,0,1993-06-25,https://www.giantbomb.com/mortal-kombat-ii/3030-3571/,ESRB: M," <div> Overview : Advertisement featuring four of the new playable charactersMortal Kombat II is a 2D fighting game developed and released by Midway in 1993 for arcades. Like the previous game, it was ported to numerous fourth-generation consoles (and some fifth-generation ones).It is the direct sequel to the original Mortal Kombat, adding new characters and content while revamping the fighting system for a smoother, faster experience. The game introduced multiple Fatalities (gruesome finishing moves) per character, Babalities (finishing moves that humiliates the opponent by turning their character into a baby), and Friendships (finishing moves that trade brutal punishment for a friendly gesture). The game introduces more easter eggs, including a playable version of Pong and the iconic ""Toasty!"" sound clip. The score system from the original (as well as the Test Your Might! minigame and endurance matches) has been removed in favor of a tally system that tracks the number of consecutive matches won.Taking place sometime after the events of the last Mortal Kombat tournament, the story shifts the location to an alternate realm called Outworld, where it's emperor, Shao Kahn, plans to take over Earthrealm by defeating the warriors of Earth in a tournament (with the help of his half-tiger, half-human bodyguard, Kintaro, and the restored Shang Tsung). Other sub-plots involve Liu Kang's plan for revenge for the assault of his Shaolin monastery (with the help of his close friend, Kung Lao), Jax's mission to rescue the captured Sonya and Kano, and the tensions between female ninja assassins Kitana and Mileena. </div>  <div> Gameplay : Mortal Kombat II builds upon the original Mortal Kombat's gameplay. The five-button layout (in an ""X"" formation) returns, with four attack buttons (High Punch, High Kick, Low Punch, and Low Kick) and a dedicated Block button. Some normal attacks have different attributes (for example, roundhouse kicks now launch opponents into the air, whether they are on the ground or not), and crouching punches have been added (in the original game, crouching and pressing either punch causes the character to throw an uppercut). </div>  <div> Characters : Baraka performing a gruesome new Fatality: the Blade Lift.One significant addition to Mortal Kombat II is the expansion of each character's arsenal of finishing moves. Each of the twelve playable characters now has two Fatalities (glorified execution moves) instead of one (with the exception of Shang Tsung, who has three). Three stages have special Stage Fatalities: The Dead Pool, The Kombat Tomb, and The Pit II. Unlike the original Mortal Kombat (where the Stage Fatality is done with a simple uppercut), Stage Fatalities must be performed with a unique button combination. The button combination for both The Kombat Tomb and The Pit II are unique for each character, with the button combination for The Dead Pool being universal for all characters.Mortal Kombat II introduces two alternate types of finishing moves: Babalities and Friendships. Babalities humiliate the opponent by turning their character into a baby, while Friendships makes the character show a friendly gesture (from autographing a picture to giving a gift). Both can only be performed if the winning player does not press any of the punch buttons during the winning round. </div>  <div>          Liu Kang  : The game includes twelve playable characters, two unplayable bosses, and three unplayable secret characters. All of the previous cast returns except Goro, Kano, and Sonya (though Kano and Sonya are seen as chained prisoners in Shao Kahn's Arena). Most of the cast have received new appearances, special moves, and Fatalities. This is the first game where Reptile and Shang Tsung are playable.After choosing a character, the player progresses through the game by defeating all twelve playable characters (with Shang Tsung always being the last opponent), and then battle the two new bosses: Kintaro and Shao Kahn. Unlike the previous game, there are no ""endurance matches"" or special mini-games.The new playable characters include Kung Lao (a Shaolin Monk and friend of Liu Kang), Jax (a U.S. Special Forces major who is sent to rescue Sonya), the Tarkatan creature Baraka, and the female ninjas Kitana and Mileena. The two boss characters include Shao Kahn (the evil emperor of Outworld) and his bodyguard, Kintaro. Much like the original Mortal Kombat, the game includes three secret opponents that are palette swaps of either the male or female ninjas: Jade (who can only be fought by winning a round using only the Low Kick button in the match before the ""?"" symbol), Smoke (who can only be fought by waiting for the ""Toasty!"" indicator on The Portal stage and pressing down on the joystick and the Start button), and Noob Saibot (who can only be fought by winning 50 rounds in a row).  </div>  <div>          Kung Lao  : Actor:  Ho Sung PakFatality 1: Liu Kang morphs into a screen-high dragon before biting down on his opponent, leaving behind only a standing pair of legs.Fatality 2:  Liu Kang revisits his non-lethal fatality from the original Mortal Kombat, executing a butterfly-kick into the opponent before uppercutting him or her into the air. </div>  <div>          Johnny Cage  :  (not available in the Game Boy, Game Gear, and Sega Master System versions) Actor:  Anthony MarquezFatality 1: Using a downward slash, Kung Lao bisects the victim with the brim of his hat. The victim falls to his or her knees before splitting apart down the center in two opposing directions.Fatality 2: Kung Lao throws his hat from a distance with a slight upward arc, catching the victim just under the neck and decapitating him or her. </div>  <div>          Reptile  :  (not available in the Game Boy, Game Gear, and Sega Master System versions) Actor:  Daniel Pesina Fatality 1: Cage rips the torso off of his victim and tosses it away, leaving only a pair of standing legs.Fatality 2: Cage revisits his fatality from the original game, using an uppercut to decapitate his victim. A special button combination can be executed during the fatality to guarantee that two more heads are punched off (out of thin air, natch). </div>  <div>          Sub-Zero : Actor: Daniel PesinaFatality 1: Reptile removes his mask, revealing his true reptilian face. He then opens wide, snaring the opponent's head with his long tongue, rips it clean off, and eats it.Fatality 2: While invisible, Reptile pops his victim's torso up into the air and away from the legs. </div>  <div>          Shang Tsung  : Actor: Daniel Pesina Fatality 1: Sub-Zero freezes his victim in showers of ice. He then executes a powerful uppercut which causes his victim to explode in a shower of guts, legs and arms. Note: This requires two separate inputs: one for the ice shower, and one for the uppercut. The ice shower can be executed and followed up by any other move, including Sub-Zero's other fatality, if so desired.Fatality 2: Sub-Zero generates an ""ice grenade"" in his hands, hurls it towards his victim, and waits as the grenade blows his victim's torso into pieces--leaving nothing but a pair of standing legs. </div>  <div>          Kitana  :  (sub-boss) Actor: Philip Ahn M.D. Fatality 1: Shang Tsung enters his victim's body via the ear canal. Shortly thereafter, he ""bursts out"" of his victim, causing the body to explode.Fatality 2: Shang Tsung lifts his victim into the air with one hand, sucking out the victim's soul into the other hand. What remains of the victim is a shriveled, desiccated body.Hidden Fatality: Shang Tsung morphs into Kintaro and, with one powerful punch, knocks his victim's torso clean off of his/her legs. </div>  <div>       Jax  : Actor:  Katalin Zamiar Fatality 1: Kitana whips out her razor-sharp fan and decapitates her victim.Fatality 2: Kitana plants a lovely kiss on her victim which in fact causes the victim's body to expand to the point of explosion. </div>  <div>          Mileena  : Actor:  John Parrish Fatality 1: Jax claps both of his hands on the victim's head, causing it to shatter into pieces.Fatality 2: Jax grabs ahold of both of his victim's arms and rips them off with one yank. The victim then stands in shock as showers of blood gush through his/her arm sockets. The victim doesn't immediately die (of blood loss). </div>  <div>          Baraka  : Actor: Katalin Zamiar Fatality 1: Mileena pulls out both of her sai and, in rapid-fire style, repeatedly stabs her victim in the torso, leaving behind a massive spray of blood.Fatality 2: Mileena removes her mask, revealing Tarkatan teeth. She then inhales her victim, then turns around and spits out a plethora of shiny bones. </div>  <div>          Scorpion  :  (not available in the Game Boy, Game Gear, and Sega Master System versions) Actor:  Richard Divizio Fatality 1: Baraka decapitates his victim with one swipe of his arm blades.Fatality 2: Baraka unleashes both of his arm blades and impales his victim through the chest. As the victim struggles and slowly dies, his/her body slides down the blades before stopping and hanging in the air. </div>  <div>          Raiden  : Actor: Daniel PesinaFatality 1: Reprising his original Fatality, Scorpion removes his mask, revealing only a ghastly skull. He then breaths a ball of fire at his victim, who then bursts into flame--flesh burning away instantly--before exploding into a shower of flaming bones.Fatality 2: Scorpion takes the blade of his spear and slashes open his victim's jugular. As a long river of blood spurts through the neck, Scorpion then follows it up by slicing and separating his victim's torso from the legs. </div>  <div>         Kintaro  :  (known as Rayden in some home versions, not available in the Game Boy, Game Gear, and Sega Master System versions) Actor:  Carlos Pesina Fatality 1: Raiden unleashes a powerful uppercut which shatters his victim's body into pieces.Fatality 2: Raiden grabs ahold of and shocks his victim until the body explodes. </div>  <div>         Shao Kahn  : (sub-boss, unplayable)  </div>  <div>         Jade  : (boss, unplayable)Actor:  Brian Glynn  </div>  <div>         Smoke  : (secret opponent, unplayable)Actor: Katalin Zamiar </div>  <div>        Noob Saibot  : (secret opponent, unplayable)Actor: Daniel Pesina </div>  <div> Arenas : (secret opponent, unplayable, not available in the Game Boy, Game Gear, and Sega Master System versions)Actor: Daniel Pesina </div>  <div> Versions and Ports : There are nine playable stages, which are built into a simple, looping rotation. However, Shao Kahn's Arena is always the stage in Kintaro and Shao Kahn matches. The stages that include special Stage Fatalities are The Dead Pool (where the player uppercuts the opponent into acid), The Kombat Tomb (where the player uppercuts the opponent into previously hidden ceiling spikes), and The Pit II (where the player uppercuts the opponent off the side of the bridge and into the rocky ground below). The Dead PoolThe Living Forest The Kombat Tomb The Wasteland The Tower The Living Forest  The Armory The Pit II The Portal Shao Kahn's Arena  </div> "
Mortal Kombat 3,Sculptured Software,Williams Entertainment,"October 13, 1995",snes,"Set in a post-apocalyptic Earthrealm (invaded by Shao Kahn's army of Outworld), Mortal Kombat 3 is the third installment of one of the most violent fighting game franchises of all time.",3030-1434,1434,0,1995-04-01,https://www.giantbomb.com/mortal-kombat-3/3030-1434/,ESRB: M," <div> Overview :  Raiden decides to take a vacation.Mortal Kombat 3 (known in some promotional material simply as MK3) is a 2D fighting game developed and released by  Midway for arcades on April 1995.The third installment of the Mortal Kombat series, Mortal Kombat 3 revamps the character roster of its predecessor while changing the setting to a more contemporary urban city on Earthrealm. It also updates the control scheme (by adding a sixth ""Run"" button) while adding selectable difficulty ladders, pre-programmed combos, mid-fight stage transitions, the ""Mercy"" system, a new type of Fatality (the Animality) and special multiplayer pre-match codes known as ""Kombat Kodes"".Taking place sometime after  Mortal Kombat II, the plot of Mortal Kombat 3 revolves around the  Outworld Emperor  Shao Kahn's invasion of  Earthrealm through the resurrection of his wife,  Sindel. Other sub-plots include the creation of the ninja clan  Lin Kuei's ""cyber-assassin"" program (in which  Sub-Zero refuses to join and becomes marked for death) and  Jax and  Sonya's hunt for the elusive  Kano.The game later received a major revision in November 1995, known as Ultimate Mortal Kombat 3, that added new characters (including the return of masked human ninjas), new game modes (including 8-player tournament mode and 2-on-2 team matches), new backgrounds, and updated character movelists. It was further updated on with the console-exclusive game Mortal Kombat Trilogy a year later.Along with 16-bit console conversions (by Sculptured Software) for the Sega Genesis and Super Nintendo Entertainment System and handheld conversions (by Software Creations) for the Game Boy and Game Gear (the latter exclusively in Europe), the original game also received a port by Williams to the 32-bit Sony PlayStation shortly after that console's North American release. The game also received two versions for PCs: a MS-DOS version by Sculptured Software and a Windows version by Williams (the latter being a port of the PS1 version). All of the original ports were released by Williams (with the European version co-released by Acclaim). The game was also included two compilations: the 2004 Midway Arcade Treasures 2 for the Xbox, PlayStation 2, and GameCube, and the 2006 Midway Arcade Treasures: Deluxe Edition for the PC. </div>  <div> Gameplay :  Mortal Kombat ""X"" Control Panel with the new run buttonThe gameplay in Mortal Kombat 3 builds upon the gameplay from the first two Mortal Kombat games. Along with four attack buttons (High Punch, High Kick, Low Punch, Low Kick) and a Block button, the game adds a Run button, which builds upon the offensive game by allowing the player to quickly dash forward. Along with this new button comes a ""Run Meter"", which limits the use of running.Mortal Kombat 3 introduces a ""chain combo"" system in which players can perform pre-programmed combos by linking normal attacks together. These combos cannot be escaped and usually end with either an attack that sends the opponent flying forward, or a launcher that allows the player to further juggle the opponent. Choose Your Destiny!The game also introduces the concept of ""Choose Your Destiny"", a difficulty selection screen shown before the single player campaign where players can choose between different ""towers"", each increasing in difficulty. The difficulties included in Mortal Kombat 3 are Novice (in which the player fights six opponents), Warrior (in which the player fights eight opponents), and Master (in which the player fights ten opponents).In the versus screen before two-player matches, players can cooperatively enter a six-digit code (known as a ""Kombat Kode"") to modify key gameplay mechanics, fight hidden characters, and read hidden text messages. Gameplay mechanics that could be changed include disabling blocking, disabling throwing, disabling the Run Meter, changing the vitality of a player's life bar, making the screen pitch black, and forcing both players' characters to randomly change every few seconds.When the  Game Over screen appears after the sole player chooses not to continue, the player the option to enter a ten-digit secret code (known as an ""Ultimate Kombat Kode""). Players have little time to input the code (either randomly or figured out through alternate sources). Only one working ""Ultimate Kombat Kode"" exists in Mortal Kombat 3: the ability to permanently unlock (for that arcade machine) Smoke as a playable character. </div>  <div> Characters : ANIMALITY! Fatalities,  Friendships, and  Babalities return from Mortal Kombat II. The requirements for performing Friendships and Babalities are now less restrictive (and can only be performed when the player does not press Block during that player's winning round).Introduced in Mortal Kombat 3 are Mercies and  Animalities. When a player has won a match that went to three rounds, the player has the option to prolong the fight with a special Mercy button combination. (Holding the Run button and pressing Down on the joystick four times when the character is at least a half a screen away) If the player defeats the opponent after showing Mercy, that player has the option to perform an Animality, in which the player transforms into a different animal and kills the opponent. (In a similar fashion to Liu Kang's Dragon Fatality from Mortal Kombat II). </div>  <div> Arenas :  The fifteen playable characters (including the space reserved for Smoke)The original arcade release included 15 playable characters (one of which must be unlocked beforehand), two unplayable boss characters, and one unplayable hidden opponent for a total of 18 combatants.Along with final boss Shao Kahn, eight characters return from previous games in the series. All returning characters have different appearances (including Jax sporting metal arms, Sub-Zero fighting un-masked, and secret character Smoke being a cybernetic). </div>  <div> Versions and Ports :  Cyrax (Sal Divita) - One of three prototype Cybernetic Ninjas built by the Lin Kuei, unit LK-4D4 (also known as Cyrax) is sent to find a terminate the rogue Sub-Zero. He is a yellow palette swap of Sektor.Kabal (Richard Divizio) - A mysterious hooksword-wielding warrior who was scarred by Shao Kahn's extermination squads, requiring the use of artifical respirators to survive.Nightwolf (Sal Divita) - A Native American historian, using shaman magic to protect his tribe's sacred land from Shao Kahn's forces. Removed in the GB, GG, and SMS versions.Sektor (Sal Divita) - One of three prototype Cybernetic Ninjas built by the Lin Kuei, unit LK-9T9 (also known as Sektor) is sent to find a terminate the rogue Sub-Zero. He is a red palette swap of Cyrax.Sheeva (stop-motion miniature) - A Shokan picked by Shao Kahn to serve as Sindel's personal protector, only to become suspicious of him after choosing a member of the enemy Centaurion race as the head of his extermination squads.Sindel (Lia Montelongo) - The former queen of Outworld, resurrected 10,000 years after her untimely death as the key to Shao Kahn's invasion.Stryker (Michael O'Brien) - A riot officer and the leader of the Riot Control Brigade before Shao Kahn's invasion. Removed in the GB, GG, and SMS versions. Motaro (stop-motion miniature, sub-boss) - A Centaurian who serves as Shao Kahn's bodyguard and the head of his extermination squads. Only playable in the SNES, Genesis, and DOS versions through cheat codes. Removed in the GB and GG versions. </div> "
Cannondale Cup,Radical Entertainemnt,Life Fitness Entertainment,February 1995,snes,"A mountain bike racing game with an attitude, released for the Super Nintendo. Also known as Exertainment Mountain Bike Rally.",3030-50362,50362,0,,https://www.giantbomb.com/cannondale-cup/3030-50362/,," <div> Overview : Cannondale Run is a competitive mountain biking game. The player takes on various CPU opponents on a series of courses with a bike and avatar of their choice. While there's no gameplay difference with the avatar, each bike has its own strengths and weaknesses.The game was originally released in a bundle along with Speed Racer in My Most Dangerous Adventures and the Exertainment Bike peripheral from publisher Life Fitness. The player would use the stationary bike while playing, powering the forward momentum of the in-game racers. Cannondale Cup was released without that functionality, allowing the player to play it with a standard Super Nintendo gamepad. Mountain Bike Adventure was released again in 1995 as a separate product for the Exertainment Bike. It changes the names of the characters and bikes, but they remain graphically identical. </div> "
Mr. Do!,C-Lab,Black Pearl Software,"December 1, 1996",snes,"Mr. Do! is an Arcade style game similar to Dig Dug and Pac-Man, in which a clown is charged with the mission to either collect all cherries or kill all enemies.",3030-10641,10641,0,,https://www.giantbomb.com/mr-do/3030-10641/,," <div> Overview : In Mr. Do, the player controls the aptly named title character - A Clown digging his way through a series Maze levels (similar to Boulderdash or Dig Dug), collecting cherries, whole avoiding or destroying the monsters roaming the tunnels. Mr. Do is capable of digging both horizontal and vertical tunnels. Apart from cherries, the levels also features apples. Apples cannot be collected but will rather fall down once Mr. Do digs sufficient room underneath. Ideally, the apples will squash monsters that mingle right beneath the apple. On the other hand, Mr. Do can also be eliminated when an apple happens to falls on him instead. Pushing the apples around horizontally can also help moving the same into position. Furthermore, Mr. Do can shoot a special ""powerball"" to eliminate enemies. However, the charge is limited to one shot and Mr. Do will have to wait until the ball bounces back to him until he can use the power again.The levels are cleared when all cherries are collected, all enemies killed, the five letters spelling E-X-T-R-A (Extra Life) or a diamond is found. </div>  <div> Food : There are many types of food that give Mr. Do a varied amount of points and send out Pac-Man style ghost enemies that try to kill him! Here is a list of food:Sandwich Cake Milk Jug Egg Toast Bread Pie Hamburger Cheese Jello Waffle Chocolate </div>  <div> Atari Version : The Atari 2600 version was poorly rated for bad graphics and poor gameplay. </div> "
Mr. Nutz,Ocean Software,Ocean Software,August 1994,snes,"A 2D platformer created by Ocean Software and released on various platforms. Mr. Nutz is a red squirrel who wears shoes, a glove, and a cap. Like other platformers of that era, he must jump on the enemies to defeat them.",3030-15305,15305,0,,https://www.giantbomb.com/mr-nutz/3030-15305/,ESRB: E," <div> Overview : Mr. Nutz is a 1994 platformer that was developed for and published on multiple consoles by British company Ocean Software. It features the eponymous squirrel hero as he attempts to foil the evil yeti Mr. Blizzard, who threatens to freeze the world and turn it into his own winter wonderland.Mr. Nutz has multiple weapons to use against enemies: he can jump on them, hit them with a swipe of his tail or throw nuts at them. Nuts can be collected throughout the stages, along with various other collectibles.Mr. Nutz would see an Amiga-only sequel, Mr. Nutz: Hoppin' Mad, but efforts to convert the game to the Sega Genesis as Mr. Nutz 2 fell through. </div> "
Ms. Pac-Man,Digital Eclipse Software,Williams Entertainment,"September 1, 1996",snes,"A sequel to the arcade classic featuring Pac-Man's feminine counterpart. The game is notable for having a variety of mazes as opposed to the single maze design in the original game, as well as bonus items that wandered through the mazes rather than appearing just in the center.",3030-6332,6332,0,1982-02-02,https://www.giantbomb.com/ms-pac-man/3030-6332/,ESRB: E," <div> Overview : The idea of Ms. Pac-Man did not come from Namco, but from hackers. The first version of Ms. Pac-Man was created in 1981 by a handful of programmers at General Computer Corporation. The programmers took a Pac-Man cabinet and modified it, calling it Crazy Otto.The programmers showed it to Midway who were both surprised at the quality of Crazy Otto and were getting upset over the long wait between the original Pac-Man and its sequel. Midway bought the rights for Crazy Otto and added the Pac-Man sprites and iconic name Ms. Pac-Man to the previously bootlegged game.Namco quickly took note of Ms. Pac-Man's swiftly growing popularity. Midway had not received consent from Namco to publish the game and a legal battle was about to erupt. Fearing a case would be brought against them, Midway and GCC turned over the rights for Ms. Pac-Man to Namco. Afterward, Namco created numerous ports for the home consoles while benefiting from the widely popular arcade game that was quickly becoming a cultural phenomenon in its own right. </div>  <div> Gameplay : Ms. Pac-Man's gameplay does not stray much from Pac-Man's simple mechanics of eating pellets, numerous types of fruit, and power pellets to eat ghosts. However there are a few major changes that would change the gameplay experience between both games.The first such change is that the three intermissions in the game are changed to tell the story of Pac-Man and Ms. Pac-Man's relationship from dating all the way to a stork dropping off their baby.The second change is a minor one; the changing of the orange ghost's name from Clyde to Sue.The ghosts now have movements that are semi-random. Because of this, many players have learned to use a set of moves to avoid the ghosts.The fruit no longer appears and stays in the center of the maze. It instead enters from one tunnel of the maze, travels around, and leaves through the other tunnel if not eaten by the player.The fruit order is now cherries, strawberry, orange, pear, apple, pretzel, and banana. The score for each is also 100, 200, 500, 700, 1000, 2000, and 5000 respectively.The final change is that there are six different mazes. With each of the mazes there are four different colors or styles. Each maze also now has two warp tunnels that will transport the player to the opposite side of the maze.The walls are now filled in (Pac-Man had hollow walls). </div> "
Musya,Jorudan,SETA,"December 31, 1992",snes,A horror-themed action game released in 1992 for the SNES and Super Famicom. Developed by Jorudan and published by Datam Polystar (Japan) and SETA Corporation (North America).,3030-39003,39003,0,1992-04-21,https://www.giantbomb.com/musya/3030-39003/,," <div> Overview : Musya, or Gousou Jinrai Densetsu: Musya (""Spearman Jinrai's Legend: Warrior""), is a side-scrolling action platformer with a horror theme, similar to Castlevania or Ghosts 'N Goblins. The player assumes the role of a spearman named Jinrai (or Imoto, in the English version) who barely survives a massive battle only to find that the village he wakes up in is beset by demonic entities from a nearby cave that leads to the abyss.Jinrai/Imoto is a powerful but slow spear-user that can eventually learn a few spells to make him a little more versatile in combat. He can also upgrade his spear to fire small energy bolts, extending its range. The goal is to make it to the end of each of the eight stages and defeat a boss, which is when new magic spells are acquired.The US version is largely left unchanged, except for a few details in the story and the usual censoring of tanuki testes and Swastika-like manji symbols. </div> "
Natsume Championship Wrestling,Natsume,Natsume,June 1994,snes,"A wrestling game released on the SNES in 1994. It was adapted from Natsume's earlier All-Japan Pro Wrestling game ""Zen-Nippon Pro Wrestling Dash: Sekai Saikyou Tag"" and reworked to be more American.",3030-9816,9816,0,,https://www.giantbomb.com/natsume-championship-wrestling/3030-9816/,PEGI: 12+," <div> Overview : Natsume Championship Wrestling is a wrestling game developed and published by Natsume for the SNES released in 1994. It is a US-exclusive conversion of Zen-Nippon Pro Wrestling Dash: Sekai Saikyou Tag. Much of the same systems are still in place, but the characters have been edited to resemble the WWF or WCW rosters - however, the game doesn't have the license for any US wrestling circuit, so the characters are all fictional. </div> "
NBA All-Star Challenge,Beam Software,LJN,"December 31, 1992",snes,A half-court one-on-one basketball game featuring one star player from each of the teams in the NBA. The players were chosen from the 1991-92 season NBA roster.,3030-13862,13862,0,,https://www.giantbomb.com/nba-all-star-challenge/3030-13862/,," <div> Overview : NBA All-Star Challenge is a one-on-one basketball game featuring 27 NBA star players from professional NBA teams, as of 1992. The player can select from a regular one-on-one game, a free-throw contest, a three-pointer contest and H.O.R.S.E., in which a player scores and the opponent has to do the same from the same spot.The game was published for Super Famicom by Acclaim Japan, Super Nintendo by LJN, and Genesis by Flying Edge. It was developed by Beam Software, now known as Krome Studios. </div> "
NBA Give 'n Go,Konami,Konami,November 1995,snes,A basketball ball game published by Konami for the SNES.,3030-11202,11202,0,1995-09-29,https://www.giantbomb.com/nba-give-n-go/3030-11202/,ESRB: K-A," <div> Overview : NBA Give 'N Go (JP: NBA Jikkyou Basket: Winning Dunk - ) is a basketball game from Konami that was first released in Japan and soon localized to North America and Europe. It is a reworking of Konami's competitive Arcade basketball game Run and Gun that now includes the NBA license. Players from the 1994-1995 season are included, which omits Michael Jordan due to his temporary retirement at the time. Neither Charles Barkley nor Shaquille O'Neal appear in the game either due to licensing issues. (This was not uncommon at the time; NBA Live 96 did not include Barkley or Jordan either, though they could be automatically generated in the player creator of that game; home ports of NBA Jam did not include Barkley, either.) The Japanese and English versions have different localized voice commentary. </div>  <div> Gameplay : Rather than a horizontal perspective of the court, the player-controlled team member runs towards the screen via the Z-axis to the opposing team's basket and sprites scale depending on their distance from the camera, including the hoop and crowd backdrop. This viewpoint is taken directly from Run and Gun, which allowed two players to compete by sitting on opposite sides of two linked Arcade cabinets. It's the equivalent of the baseline view in modern basketball games, whereas the traditional view on television and of basketball games in this era is known as the sideline view.Sprites don't scale entirely smoothly, with sudden size changes as the camera moves farther from or closer to the sprite. Furthermore, the half-court game is sometimes compromised as the camera cannot provide a view of the entire half court once the ball-handler (or defensive team member under player control) is at or past half court.Players are not easily identifiable on court by jerseys alone--names and numbers are obfuscated and appear as garbled text. Some of the player art is close enough to resembling the real-life player, and the player being controlled (and the player whom is highlighted to receive the next pass) does have he position he's playing over his head. Those familiar with the NBA circa 1994 - 1995, and know players' positions (or at least remember where they may have substituted out of position), it's not entirely difficult to identify the players--but the way this is handled is in contrast to its simulation peers, such as NBA Showdown and NBA Live, where the player has the luxury of jersey numbers on the player sprites themselves.Each court features the home team's logo. However, in the player's perspective.,the logo is facing right-side up. This angling is odd, given that the game's camera view is from the baseline, and not from the traditional sideline ""television"" angle. (In other words, if you were to rotate a Give N' Go court such that it is viewed from the ""television"" angle, the logo would appear to be rotated on its side.) </div> "
NBA Hangtime,Funcom,Midway Games,November 1996,snes,"The arcade sequel to Midway's NBA Jam series of two-on-two rules-light arcade basketball games, featuring a new aesthetic, new player abilities, and a robust character creation system.",3030-10512,10512,0,1996-04-16,https://www.giantbomb.com/nba-hangtime/3030-10512/,ESRB: K-A," <div> Overview : NBA Hangtime (also known as NBA Hang Time) is a belt-scrolling basketball game developed and released by Midway for arcades in April 1996.A sequel to the 1993 game NBA Jam (and its 1994 Tournament Edition update), NBA Hangtime features an updated NBA roster for the 1995-96 season (now with each team having a five-man roster to choose from), new player abilities (such as spin moves, fadeaway shots, alley-oops, ""double-dunks"", and the ""Team Fire"" buff), an updated cheat code system (similar to Kombat Kodes from Mortal Kombat 3), an updated persistent profile system (using longer names and four-digit PINs), and overhauled higher-quality graphics and audio (with Chicago Bulls announcer Neil Funk doing the voice commentary).The game also features the ""Create Player"" system, in which players forego using their credit to play the game to instead create and update their own custom basketball player for their persistent profile. Along with a custom name, uniform color, wacky head, and a ""nickname"" for the announcer, players can distribute their attributes from a limited point pool (which gets larger the more that player wins).The game later received ports for the Super Nintendo Entertainment System and Sega Genesis on November 1996, both ported by Funcom and published by Midway themselves (rather than Acclaim, who previously published ports of NBA Jam). It was later ported by Midway Studios San Diego and Director's Cut International to the Sony PlayStation, Nintendo 64, and Windows PCs in early 1997.Earlier versions of NBA Hangtime (as well as the home versions) included a NBA trivia quiz after each game for bragging rights, additional attribute points (home version only), and a chance to win prizes (arcade version only). The game later received an update in November 1996 as NBA Maximum Hangtime, updating the roster to match the 1996-97 season while adding new secrets and a new ""hot spots"" system, where each basketball player has a hidden spot on the court where they shoot more accurately. It was later succeeded by NBA Showtime: NBA on NBC. </div>  <div> Teams & Players : TeamPlayersAtlanta HawksStacey AugmonMookie BlaylockSteve SmithChristian LaettnerKen NormanBoston CelticsDee BrownDana BarrosEric MontrossDino RadjaRick FoxCharlotte HornetsKenny AndersonLarry JohnsonGlen RiceGeorge ZidekDell CurryChicago BullsScottie PippenDennis RodmanToni KukocLuc LongleySteve KerrCleveland CavaliersTyrone HillChris MillsBobby PhillsTerrell BrandonDanny FerryDallas MavericksJim JacksonJason KiddJamal MashburnPopeye JonesGeorge McCloudDenver NuggetsMahmoud Abdul-RaufDikembe MutomboAntonio McDyessJalen RoseDale EllisDetroit PistonsJoe DumarsGrant HillTerry MillsOtis ThorpeAllan HoustonGolden State WarriorsKevin WillisLatrell SprewellRony SeikalyJoe SmithChris MullinHouston RocketsHakeem OlajuwonClyde DrexlerRobert HorrySam CassellKenny SmithIndiana PacersReggie MillerDale DavisRik SmitsDerek McKeyMark JacksonLos Angeles ClippersLoy VaughtRodney RogersLamond MurrayPooh RichardsonBrent BarryLos Angeles LakersNick Van ExelVlade DivacCedric CeballosElden CampbellEddie JonesMiami HeatAlonzo MourningWalt WilliamsRex ChapmanTim HardawayPredrag DanilovicMilwaukee BucksVin BakerGlenn RobinsonShawn RespertBenoit BenjaminSherman DouglasMinnesota TimberwolvesIsaiah RiderAndrew LangSpud WebbTom GugliottaKevin GarnettNew Jersey NetsKendall GillShawn BradleyArmon GilliamEd O'BannonKevin EdwardsNew York KnicksPatrick EwingAnthony MasonDerek HarperCharles OakleyJohn StarksOrlando MagicAnferenee HardawayHorace GrantNick AndersonDennis ScottJon KoncakPhiladelphia 76ersJerry StackhouseDerrick ColemanClarence WeatherspoonTrevor RuffinVernon MaxwellPhoenix SunsKevin JohnsonWayman TisdaleDanny ManningWesley PersonMichael FinleyPortland Trail BlazersRod StricklandClifford RobinsonArvydas SabonisBuck WilliamsRandolph ChildressSacramento KingsBilly OwensMitch RichmondBrian GrantSarunas MarciulionisTyus EdneySan Antonio SpursSean ElliotDavid RobinsonAvery JohnsonChuck PersonVinny Del NegroSeattle SupersonicsShawn KempGary PaytonDetlef SchrempfHersey HawkinsSherell FordToronto RaptorsCarlos RogersDamon StoudamireAlvin RobinsonOliver MillerTracey MurrayUtah JazzJohn StocktonKarl MaloneJeff HornacekDavid BenoitChris MorrisVancouver GrizzliesGreg AnthonyBlue EdwardsByron ScottBryant ReevesEric MurdochWashington BulletsJuwan HowardChris WebberCalbert CheaneyRobert PackGeorghe Muresan </div> "
