Title,Developer,Publisher,First released,console,guid,deck,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
Mickey's Speedway USA,Rare,Nintendo,"March 23, 2001",gbc,3030-6368,The Weasel brothers have dog-napped Pluto. It is up to Mickey and his friends to save him by racing each other across the United States.,6368,0,2000-11-13,https://www.giantbomb.com/mickeys-speedway-usa/3030-6368/,ESRB: E," <div> Overview : Mickey's Speedway USA is a kart racing game released late in the life span of the Nintendo 64 and Game Boy Color consoles. The game features ten classic Disney characters racing across over 20 tracks inspired by real-world locations across the United States. The Nintendo 64 version plays similarly to Rare's previous kart racer, Diddy Kong Racing, while the Game Boy Color version is a top-down racer akin to their R.C. Pro-Am series. </div>  <div> Gameplay : Mickey's Speedway USA has a Grand Prix mode which works similarly to that of other racing games like Mario Kart 64: each cup has the racers compete on four tracks in a row. The better position you finish each race, the more points you get, and whoever has more points at the end of the cup wins. The game also features a time attack mode, along with multiplayer racing and battle modes.The characters have different stats; some focus on speed over handling, some are slower but can turn easier, and some are balanced between the two. </div>  <div> Characters : Mickey MouseDaisy DuckGoofyPeteMinnie MouseDonald Duck </div>  <div> Items : Huey (unlocked via the Transfer Pak)DeweyLouieLudwig Von Drake </div>  <div> Tracks : Spritzer: The standard speed boost item.Baseball Chucker: Explodes when hit by another racer. It can be tossed behind you.Paint Splotcher: It lies on the ground and makes the first racer that lands on it skid. Can be tossed forward.Tracechaser: Homes in on a racer directly ahead of you.Magno Flyer: Follows the track to hit a racer ahead of you.Shield Shell: Grants a temporary shield, a speed boost and allows you to move at top speed on ""hazardous terrain.""Stormy Weather: Rains on every racer ahead of you, slowing them down. </div> "
Micro Machines V3,Novalicious,THQ,"November 24, 2000",gbc,3030-496,"Micro Machines V3 is the first 3D instalment in the tiny top down racing franchise based on the popular toys. Developed by Codemasters, V3 was known for its wide selection of party modes including an 8 player controller share option.",496,0,,https://www.giantbomb.com/micro-machines-v3/3030-496/,ESRB: K-A,
The Best of Microsoft Entertainment Pack,Saffire,Classified Games NACryo Interactive EU,"August 31, 2001",gbc,3030-79086,"13 games from throughout the Microsoft Entertainment Pack line of casual game compilations, including SkiFree, Tetris, Chip's Challenge, and Pipe Dream.",79086,0,,https://www.giantbomb.com/the-best-of-microsoft-entertainment-pack/3030-79086/,," <div> Overview : The Best of Microsoft Entertainment Pack (later re-released as Microsoft Entertainment Pack 1) is a casual game compilation developed and published by Microsoft for Windows PCs in 1994.It features 13 games from all four installments of the original Microsoft Entertainment Pack.The compilation also received a handheld port to the Game Boy Color by Saffire. Released by Classified Games in North America (on June 2001) and by Cryo in Europe (on August 2001), both released as Microsoft: The Best of Entertainment Pack (or in-game as Microsoft Entertainment Pack), this version includes ports of seven games (half of which are not in the PC version). </div>  <div> Games Included : GolfMinesweeper (GBC version only)TaipeiTetrisTicTactics (GBC version only) </div> "
Midway Presents Arcade Hits: Joust/Defender,Digital Eclipse,Midway,"April 1, 1999",gbc,3030-41148,"Two games, one cartridge. No quarters required.",41148,0,,https://www.giantbomb.com/midway-presents-arcade-hits-joustdefender/3030-41148/,ESRB: E,
Winter Games 2023,Konami,Konami,2000,gbc,3030-87644,"Winter Games 2023 is a collection of Olympic-style winter sports including curling, ski jumps, biathlon, luge, and speed skating.",87644,0,2022-10-13,https://www.giantbomb.com/winter-games-2023/3030-87644/,,
Mission: Impossible,Rebellion,Infogrames,"August 1, 2000",gbc,3030-29369,Mission: Impossible is a third-person shooter for the Nintendo 64 and Sony PlayStation based on the 1996 movie of the same name.,29369,0,1998-07-18,https://www.giantbomb.com/mission-impossible/3030-29369/,ESRB: T," <div> Plot: Similarities & Differences from the Film : The story arc of the IMF (Impossible Missions Force) agent Ethan Hunt remains mostly intact in this adaptation. The NOC (Non-Official Cover-agents) list has been stolen, revealing the true identities of many CIA operatives. Hunt has been tasked to recover the list, and in the process is pinned as the CIA ""mole,"" working secretly for the enemy. It is revealed to the player that Hunt has been framed, and must now clear his name while being chased by the CIA. </div>  <div> Gameplay :  Major key plot points which are unchanged in the game:Jim Phelps, leader of Hunt's IMF team, is revealed to be the actual moleHunt, incognito, must attend a foreign state dinner party; a hidden passage leads to the basement and supposed location of the missing NOC listHunt stealthily descends into a heavily secured CIA computer room, to retrieve the actual NOC listPhelps and Hunt face off on top of a speeding train; Hunt is successful in fouling Phelps' plan to escape via helicopter </div>  <div> Easter Egg : Major plot differences: Jim's wife, Claire, is nonexistent in the game; Candice is now the leading female love interest for HuntCandice also features a unique backstory from the film; She is one of Hunt's fellow secret agents who has been captured by the enemy, and player helps her escape early in the gameTwo ""ice levels"" bookend the game, exploring Hunt's additional IMF missions  </div> "
Monopoly,Sculptured Software,Majesco NAHasbro Interactive JP,,gbc,3030-63339,A horror adventure game.,63339,0,2017-10-21,https://www.giantbomb.com/monopoly/3030-63339/,,
Monster Rancher BattleCard GB,Graphic Research,Tecmo,,gbc,3030-19994,Monster Rancher Battle Card GB is Tecmo's attempt to cash in on the trading card game craze.,19994,0,1999-12-23,https://www.giantbomb.com/monster-rancher-battlecard-gb/3030-19994/,ESRB: K-A," <div> Overview : Monster Rancher Battle Card GB, unlike other card game video games, is not based on an actual card game. Instead, it is based on the Monster Rancher franchise, but put into card game format.   The player uses three monsters, each with a certain amount of hit points, and uses a deck of fifty cards to defeat the defending monsters. To do this, the player must put card from his hand into the Guts pile. When a player uses a card, it usually has an amount of Guts required on it, and whatever the amount of Guts is for the card, that is the number of cards that must leave the Guts pile. If a player does not have enough Guts in the Guts pile, the card cannot be used.   Each turn, a player draws enough cards to have five. If the player has five cards, then they do not draw. All three monsters and the player may attack once, which means only four attacks can be used each turn. A player can use Combos to make a Monster attack stronger. For example, Tiger can combo ""RightClaw"", ""Horn"", and ""LeftClaw"" for a combo of 7 damage. If each one was used alone, the attack would do 1 damage for each turn.   Players can win by either defeating the defending Monsters or by the opposing party not having any cards in the deck left.    </div>  <div> Story  : At the beginning of the game, a player may choose either to be a boy or girl. Whichever one is chosen, the story is the same.   The game opens by showing the character taking a test to get a Card Breeder License, meaning he or she can play cards and go to ruins. After three questions are answered, the player is given three Monsters. The player is then told to go out to the Ruins and defeat the player on the sixth floor for a CD which has another Monster he or she may use.   Once the first three ruin areas are complete, the player must take another license test for a better license, letting him or her go to even more ruins for even more Monsters to use. </div> "
Monster Rancher Explorer,Graphic Research,Tecmo,,gbc,3030-4272,"A Solomon's Key sequel, branded with Monster Rancher content in the west. Players control Cox, a man trying to climb a tower filled with puzzles and enemy monsters.",4272,0,2000-09-29,https://www.giantbomb.com/monster-rancher-explorer/3030-4272/,ESRB: E,
Mortal Kombat 4,Digital Eclipse,Midway Games,"April 1, 1999",gbc,3030-6421,"Mortal Kombat 4 is the fourth installment of one of the most violent fighting game franchises of all time, moving the series to 3D while introducing limited weapon-based combat.",6421,0,1997-10-15,https://www.giantbomb.com/mortal-kombat-4/3030-6421/,ESRB: T," <div> Overview : Sub-Zero with his Freeze Wand.Mortal Kombat 4 is a 3D fighting game developed and released by Midway on October 1997 for arcades. The game makes a significant shift to 3D while introducing weapon-based combat to the franchise. The setting reverts from the gritty, Western look of Mortal Kombat 3 to mythical, Eastern look of the first two Mortal Kombat games.The game has three revisions within a year, fixing various bugs and adding new secrets, bugfixes and features. The game was also ported to the PlayStation and Nintendo 64 in late June 1998, the PC in late July 1998, and was a launch title for the Sega Dreamcast under the name Mortal Kombat Gold. These home versions added exclusive content, including new characters and FMV intros, biographies, and endings. The game was also ported to the Game Boy Color in 1998 by Digital Eclipse.Taking place after the events of Mortal Kombat 3, the plot of Mortal Kombat 4 revolves around the war between the God of Thunder Raiden (along with the warriors of Earthrealm) and the fallen Elder God Shinnok (along with the evil sorceror Quan Chi and their army of darkness). </div>  <div> Gameplay : Despite the transition to 3D, the game plays very similarly to Ultimate Mortal Kombat 3. Players have four attack buttons (High Punch, High Kick, Low Punch, and Low Kick), a Block button, and a Run button. Players have a Run Meter to prevent them from abusing the Run button, which gives them a quick dash forward for offensive manuevers. Players can now sidestep left and right (by tapping the Run button twice), allowing them to dodge projectiles and move the camera so that other players can not pick up items on the ground as easily.The ""chain combo"" system is still intact, where players use strings of normal attacks to perform a pre-programmed combo. However, Mortal Kombat 4 has added a ""Maximum Damage"" cap, automatically breaking off combos (in a similar vein to Killer Instinct's "" Combo Breaker"").One main concept introduced to the Mortal Kombat franchise in Mortal Kombat 4 is weapon-based combat. Players perform a specific button and joystick combination and the character would equip a weapon (usually a sword, an axe, or a club). The weapon deals more damage and changes certain attacks (Fujin's Crossbow, for example, can fire bolts). The weapon is knocked out of the player's hand on the first attack landed by an opponent, in which that weapon can be picked up by either player by pressing down on the joystick and the Run button. Some stages have objects (such as rocks in Goro's Lair) scattered around that can also be picked up and thrown at opponents.Some mechanics from Ultimate Mortal Kombat 3 were scrapped, including Friendships, Babalities, Animalities, the ability to show "" Mercy"", eight-player tournament mode, and mid-match stage transitions. There are no Endurance Matches, instead bringing back 2-on-2 mode.This is the first Mortal Kombat game to not include palette swaps, as each character is visually unique. This also marks the first game to include the ability to select an alternate costume (by holding the Start button while selecting a character). </div>  <div> Characters : The fifteen playable fighters from the Arcade version.Mortal Kombat 4 included 15 playable characters in the original Arcade release, 7 of which are new additions to the series. It is the first main entry in the series where both boss characters are playable.With the exception of the handheld Game Boy Color version, all Home versions of the game added additional characters, all of which from previous Mortal Kombat games. This brings the grand total to 17 in the N64 and PS1 versions and 23 in the DC version.In addition, later Arcade and Home console releases included a secret easter egg that changes the player character's model to a bloody skeleton that was used in certain Fatalities (sometimes dubbed ""Meat""). A new original character was made based on this appearance in later Mortal Kombat games. </div>  <div> Arenas : Fujin - One of the last remaining Gods in Shinnok's war on the Elder Gods, Fujin is the God of Wind and an ally of Raiden.Jarek (not available in the GBC version) - Believed to be the last remaining member of Kano's criminal organization, the Black Dragon, Jarek is a ruthless criminal who reluctantly assists Sonya and the other Earth warriors in defeating Shinnok's forces.Kai (not available in the GBC version) - A skilled African-American martial artist who trained under the White Lotus Society with Liu Kang before learning from great masters throughout Asia.Reiko - A former general of Shinnok's army who, after believed to be killed during Shinnok's war on the Elder Gods, resurfaces to fight the forces of Earth hand-to-hand.Tanya - The daughter of an Edenian ambassador, Tanya unknowingly let Shinnok invade Edenia for his base of operations. While she appears to assist Earth's forces, her true motives are unclear.Quan Chi (sub-boss) - A dark sorceror who uses his abilities to free Shinnok from his imprisonment in exchange for being his second-in-command.Shinnok (final boss, unplayable in the GBC version) - A fallen Elder God free from his banishment to the Netherrealm, waging a war against the Elder Gods (particularly Raiden). His specialty is the ability to mimic the fighting style of any other character (similar to Shang Tsung). </div> "
Motocross Maniacs 2,Konami,Konami,"September 10, 1999",gbc,3030-26179,This Game Boy Color sequel to Motocross Maniacs was released in 1999.,26179,0,1999-09-14,https://www.giantbomb.com/motocross-maniacs-2/3030-26179/,ESRB: E, <div> Overview : Motocross Maniacs 2 is a racing game developed and published by Konami for the Game Boy Color platform. Motocross Maniacs 2 is known as Crazy Bikers in European countries. </div> 
MTV Sports: Skateboarding,Yellowbelly Corporation,THQ,"December 17, 2000",gbc,3030-14487,A skateboarding game with similar controls to the classic Tony Hawk games. This game however has a stunt mode.,14487,0,,https://www.giantbomb.com/mtv-sports-skateboarding/3030-14487/,ESRB: E,
MTV Sports: T.J. Lavin's Ultimate BMX,Handheld Games,THQ,"December 8, 2000",gbc,3030-27632,"Ten pro BMX riders battle it out to determine who's the best on dirt, vert, and street.",27632,0,2001-04-20,https://www.giantbomb.com/mtv-sports-tj-lavins-ultimate-bmx/3030-27632/,,
The Mummy Returns,Game Brains,Universal Interactive,"May 18, 2001",gbc,3030-16589,"An action-adventure game based on the movie of the same name. Players can choose to either rule the world as Imhotep or fight as Rick, to save his son, Alex.",16589,0,2001-10-03,https://www.giantbomb.com/the-mummy-returns/3030-16589/,,
NASCAR 2000,Software Creations,EA Sports,,gbc,3030-15920,EA Sports' NASCAR racing game.,15920,0,2000-02-29,https://www.giantbomb.com/nascar-2000/3030-15920/,ESRB: E,
Bill Elliott's NASCAR Challenge,Morning Star Multimedia,Hasbro Interactive,,gbc,3030-17366,,17366,0,1991-04-27,https://www.giantbomb.com/bill-elliotts-nascar-challenge/3030-17366/,,
NASCAR Heat,Game Titan,Hasbro Interactive,,gbc,3030-17215,"The PC version was released first, on August 28th 2000, followed by the Playstation version on November 16th 2000 and, finally the Game Boy Color version on December 25th 2000",17215,0,2000-09-27,https://www.giantbomb.com/nascar-heat/3030-17215/,,
NASCAR Racers,Digital Eclipse,Hasbro Interactive,,gbc,3030-15275,"A racing game with power-ups, characters and cars based on the Fox cartoon series with the same name.",15275,0,2000-11-21,https://www.giantbomb.com/nascar-racers/3030-15275/,,
NBA 3 on 3 Featuring Kobe Bryant,Left Field Productions,Nintendo,,gbc,3030-7233,,7233,0,1999-12-09,https://www.giantbomb.com/nba-3-on-3-featuring-kobe-bryant/3030-7233/,,
NBA Hoopz,Torus Games,Midway,,gbc,3030-417,A sequel to NBA Showtime: NBA on NBC that introduced a 3-on-3 format to the ubiquitous NBA Jam formula of Midway basketball games.,417,0,2001-02-13,https://www.giantbomb.com/nba-hoopz/3030-417/,ESRB: E," <div> Overview : Released for the Dreamcast, PlayStation 2, Game Boy Color, and PlayStation in 2001, this sequel to NBA Showtime: NBA on NBC altered the long-held Midway basketball format of a 2-on-2 game to 3-on-3. This was the final game in the ""NBA Jam style"" series of Midway titles. The next basketball game Midway released was the significantly different (although still ""arcadey"") NBA Ballers in 2004. </div> "
NBA in the Zone '99,Konami,Konami,"June 1, 1999",gbc,3030-7202,,7202,0,1999-04-07,https://www.giantbomb.com/nba-in-the-zone-99/3030-7202/,ESRB: E,
NBA in the Zone 2000,Konami,Konami,"September 29, 2000",gbc,3030-872,,872,0,2000-04-27,https://www.giantbomb.com/nba-in-the-zone-2000/3030-872/,ESRB: E,
NBA Jam 99,Torus Games,Acclaim Sports,1998,gbc,3030-20342,"NBA Jam '99 is an arcade basketball game for the Nintendo 64 and Game Boy Color, developed by Iguana UK.",20342,0,1998-12-04,https://www.giantbomb.com/nba-jam-99/3030-20342/,ESRB: E," <div> Overview : NBA Jam 99 is a basketball game developed by Iguana Entertainment for the Nintendo 64 and Torus Games for the Game Boy Color. The game was published by Acclaim Entertainment on both platforms. </div>  <div> Gameplay : Unlike earlier games in the NBA Jam series, NBA Jam 99 is a simulation style basketball game.  </div>  <div> Game Modes : The game modes in NBA Jam 99 differ between the two different platforms. Both platforms feature four different play modes. </div>  <div> Cover Athlete : NBA PlayJam ModeQuick PlaySkills Mode </div> "
NBA Showtime: NBA on NBC,Torus Games,Midway Games,,gbc,3030-4632,NBA Showtime is an arcade-style basketball game from the developers of NBA Jam and NBA Hangtime.,4632,0,1999-11-17,https://www.giantbomb.com/nba-showtime-nba-on-nbc/3030-4632/,ESRB: E," <div> Overview : NBA Showtime features the same arcade 2 on 2 style of NBA Jam and NBA Hangtime. One of the NBA teams is chosen, then two players from that team are chosen. At half time two different players can be chosen to switch out the current ones. NBA Showtime also features the ""on fire"" feature. If a player makes 3 consecutive shots they become on fire and can not only make shots at a much higher percentage, the player can also goal tend without penalty. The announcer from NBA Jam ( Tim Kitzrow) returns after an absence from NBA Hangtime. NBA Showtime also features a create a player mode as well as the initials and PIN system for record keeping. </div>  <div> Arcade Versions : One of the Showtime arcade cabinetsNBA Showtime: NBA on NBC featured a four player cabinet. Each player had three buttons to use: Pass/Steal, Shoot/Jump, and Turbo. NBA Showtime uses the same hardware that is used in the NFL Blitz series. In version 1.0 of the game Dennis Rodman was on the Lakers. The player could adjust the color of his hair. After version 1.0 Rodman was no longer with the Lakers and was removed. The Arcade version of the game also included various Universal Monsters such as: Frankenstein's Monster, The Bride of Frankenstein, The Mummy, The Wolf Man, and the Creature From the Black Lagoon. </div>  <div> Game Boy Color Version : The Game Boy Color version of the game features four play modes: Season, Exhibition, Playoffs, and Practice. The Game Boy version also features all 29 teams found in the other versions of the game. </div>  <div> Rosters : TeamsAtlanta HawksDikembe MutomboAlan HendersonLaPhonso EllisBimbo ColesIsiah RiderJim Jackson                        Boston CelticsKenny AndersonAntoine WalkerDana BarrosTony BattiePaul Pierce (Dreamcast Only)Danny FortsonCalbert CheaneyCharlotte HornetsEddie JonesAnthony MasonBobby PhillsDerrick ColemanElden CampbellChicago BullsToni KukocRon HarperAndrew LangKornel DavidB.J. ArmstrongWill PerdueCleveland CavaliersShawn KempBrevin KnightBob SuraZydrunas IlgauskasWesley PersonLamond MurrayDallas MavericksMichael FinleyCedric CeballosShawn BradleySteve NashDenver NuggetsAntonio McDyessNick Van ExelBryant StithChauncey BillupsRon MercerDetroit PistonsGrant HillLindsey HunterChristian LaettnerBison DeleJerry StackhouseJoe DumarsGolden State WarriorsJohn StarksDonyell MarshallErick DampierMuggsy BoguesMookie BlaylockHouston RocketsScottie PippenCharles BarkleyHakeem OlajuwonEddie JohnsonMatt MaloneyTony MassenburgIndiana PacersReggie MillerDale DavisJalen RoseSam PerkinsMark JacksonChris MullinLos Angeles ClippersMaurice TaylorStojko VrankovicJohnny NewmanLamar Odom (N64 Version Only)Los Angeles LakersShaquille O'NealGlen RiceKobe BryantRick FoxTravis KnightA.C. GreenMiami HeatTim HardawayAlonzo MourningVoshon LenardP.J. BrownMilwaukee BucksGlenn RobinsonRay AllenErvin JohnsonSam CassellTim ThomasDanny ManningDale EllisMinnesota TimberwolvesKevin GarnettTerrell BrandonDean GarrettJoe SmithBobby JacksonMalik SealyNew Jersey NetsStephon MarburyKeith Van HornJayson WilliamsKendall GillNew York KnicksPatrick EwingAllan HoustonLatrell SprewellLarry JohnsonCharlie WardMarcus CambyOrlando MagicBo OutlawDarrell ArmstrongDanny SchayesChris GatlingPhiladelphia 76ersAllen IversonTheo RatliffAaron McKieMatt GeigerTyron HillBilly OwensPhoenix SunsJason KiddTom GugliottaRex ChapmanLuc LongleyRodney RogersAnfernee HardawayPortland TrailblazersDamon StoudamireRasheed WallaceArvydas SabonisWalt WilliamsSteve SmithDetlef ShrempfSacramento KingsChris WebberJason WilliamsCorliss WilliamsonVlade DivacLawrence FunderburkeDarrick MartinNick AndersonSan Antonio SpursDavid RobinsonSean ElliottTim DuncanSteve KerrAvery JohnsonTerry PorterSeattle SupersonicsGary PaytonVin BakerHorace GrantBrent BarryToronto RaptorsVince CarterCharles OakleyDoug ChristieTracy McGradyKevin WillisDee BrownDell CurryUtah JazzJohn StocktonKarl MaloneGreg OstertagJeff HornacekBryon RussellVancouver GrizzliesShareef Abdul-RahimBryant ReevesCherokee ParksDoug WestMike BibbyWashington WizardsJuwan HowardRod StricklandMitch RichmondTracy Murray </div> "
The New Adventures of Mary-Kate & Ashley,Crawfish Interactive,Club Acclaim,"November 16, 2001",gbc,3030-61301,"A puzzle platforming game that was released in Europe as ""Maya the Bee and her Friends"" the graphics were changed and it was released in the west as ""The New Adventures of Mary-Kate &amp; Ashley""",61301,0,,https://www.giantbomb.com/the-new-adventures-of-marykate-ashley/3030-61301/,,
NFL Blitz 2000,Digital Eclipse,Midway Games,,gbc,3030-2849,NFL Blitz 2000 was the third video game title in the cross platform NFL Blitz football series.,2849,0,1999-07-31,https://www.giantbomb.com/nfl-blitz-2000/3030-2849/,ESRB: E,
NFL Blitz 2001,Morning Star Multimedia,Midway Games,,gbc,3030-12669,"NFL Blitz 2001 is the fifth installment in the NFL Blitz series, and the first to be released on Dreamcast.",12669,0,2000-09-12,https://www.giantbomb.com/nfl-blitz-2001/3030-12669/,ESRB: E," <div> Overview : Building on the same format used in previous NFL Blitz games, Midway released NFL Blitz 2001 on September 12, 2000. The game was released on a handful of platforms, and was also the first of the series to not be released in arcade-cabinet format. Blitz 2001 was the last Blitz release for the original Playstation. A slightly modified version of NFL Blitz 2001 was re-released on the Nintendo 64 as ""NFL Blitz: Special Edition"". </div>  <div> Gameplay : Gameplay stayed essentially the same to previous Blitz releases. The same animations, mechanics, and A.I. tendencies were carried over from Blitz 2000. There were slight improvements to the physics engine in the Dreamcast release which are noticeable during gameplay. </div>  <div> Dreamcast : The Dreamcast release of the game saw notable improvements in almost all aspects of the game including graphic quality, sound, and visual presentation. Player photos and statistics were added to relevant plays in-game, as were higher-resolution player models. Weather effects were added to the game, a feature not seen before. The Dreamcast version also featured a wider-angle camera during gameplay, allowing the player to see more of the field for more effective offense and defense. </div> "
NHL Blades of Steel,Climax Studios,Konami,,gbc,3030-75007,Game Boy Color,75007,0,,https://www.giantbomb.com/nhl-blades-of-steel/3030-75007/,,
NHL Blades of Steel 2000,Climax Studios,Konami,,gbc,3030-27617,Konami brings its brand of pro hockey to PlayStation and Game Boy Color just in time for the 2000 NHL Playoffs.,27617,0,2000-03-30,https://www.giantbomb.com/nhl-blades-of-steel-2000/3030-27617/,," <div> Overview : NHL Blades of Steel 2000 is a hockey game developed by Konami Computer Entertainment Tokyo and published by Konami for the Game Boy Color and PlayStation platforms.A version of the game for Nintendo 64 was planned, but canceled before release. </div> "
Nicktoons Racing,Pipe Dream Interactive,Hasbro Interactive,,gbc,3030-21269,"Nicktoons Racing is a kart racing game that features characters from Rugrats, Spongebob Squarepants, CatDog, The Wild Thornberries, and other Nickelodeon cartoons.",21269,0,2000-10-31,https://www.giantbomb.com/nicktoons-racing/3030-21269/,,
*N Sync: Get to the Show,Stunt Puppy Entertainment,Infogrames,,gbc,3030-36340,*N Sync: Get to the Show is a Game Boy Color game featuring the boy band *N Sync.,36340,0,2001-12-12,https://www.giantbomb.com/n-sync-get-to-the-show/3030-36340/,ESRB: E, <div> Overview :  *N Sync: Get to the Show is a licensed game developed by Stunt Puppy Entertainment and published by Infogrames for the Game Boy Color platform. </div> 
Oddworld: Adventures 2,Saffire,GT Interactive NAInfogrames EU,"June 1, 2000",gbc,3030-18633,Oddworld Adventures 2 - the unlikely hero Abe returns to battle it out against the latest of the Magog Cartel's devilish plans. The game is based on a loose and condensed interpretation of the very popular Abe's Exoddus.,18633,0,2000-01-19,https://www.giantbomb.com/oddworld-adventures-2/3030-18633/,ESRB: E,
Perfect Dark,Rare,Rare,"August 1, 2000",gbc,3030-2930, Joanna Dark is a secret agent in this Rare developed prequel to the N64 FPS.,2930,0,2000-08-28,https://www.giantbomb.com/perfect-dark/3030-2930/,BBFC: 15," <div> Overview : Perfect Dark is a video game for the Game Boy Color developed by Rare and released in 2000. Like the Nintendo 64 game, Perfect Dark for Game Boy Color follows the exploits of secret agent Joanna Dark. In this edition, Agent Dark must complete seven huge missions that involve weapon play as well as puzzle solving. These missions revolve around the destruction of illegal cyborg manufacturing facilities. The game features full motion video cutscenes that unfold the storyline for the gamer. The game itself doesn't utilize a first-person perspective for the action -- instead, Perfect Dark GBC features a pseudo-overhead viewpoint, much like what Konami did with Metal Gear: Ghost Babel and what Rebellion did with Mission: Impossible. However, at certain points in the game you'll be placed in a through-the-eyes perspective as well. This game also has a built-in rumble feature.Perfect Dark on the Game Boy Color was set in the year leading up to the start of the N64 game, covering her final test and graduation to full service as a Carrington Institute operative and her first mission. The game was played mostly from an isometric top-down perspective but included a variety of other game types such as a vertically scrolling driving section, a first-person sniping section and a number of different boss fight stages. The game encouraged stealth over action in keeping with the N64 game.The game made use of many of the features of the hardware. A two player deathmatch mode made use of the link cable, unlockable stickers could be printed using the Game Boy printer or traded with other players via the infra-red port and the cartridge had a built-in rumble feature. If used in conjunction with the N64 Transfer Pak, the game could be used to unlock four cheat modes in N64 Perfect Dark - All Weapons, Claoking Device, Hurricane Fists and R-Tracker. </div> "
Pitfall!,David A. Palmer Productions,Crave Entertainment NAInterplay Entertainment EUPony Canyon JP,"May 28, 1999",gbc,3030-39290,Pitfall Harry is rebooted yet again and placed in an endless runner for mobile devices.,39290,0,2012-08-09,https://www.giantbomb.com/pitfall/3030-39290/,,
Planet of the Apes,Torus Games,Ubi Soft,"November 23, 2001",gbc,3030-13864,"This ""reimagining"" of Planet of the Apes had much more in common with the original story than the Tim Burton remake that was released the same year.",13864,0,2001-09-19,https://www.giantbomb.com/planet-of-the-apes/3030-13864/,ESRB: E,
Pocket Bomberman,Hudson Soft,Nintendo,"January 1, 1999",gbc,3030-23456,The evil Babylon has used his evil powers to block the sunlight from the sun.  It's up to Bomberman to stop him and save the day!,23456,0,1998-11-18,https://www.giantbomb.com/pocket-bomberman/3030-23456/,ESRB: E," <div> Overview  : First released on the original    Game Boy and later ported to the   Game Boy Color, Pocket Bomberman was the first and only Bomberman game to take our beloved hero into a 2D side-scrolling adventure.  In this single player only game, the main goal was similar to the older games,  kill all the enemies to advance to the next level.  There are five worlds and 25 levels overall in the game and each world had a boss. Besides the main game, there is also a mini game called ""Jump Game"" were you are constantly jumping and must reach the top of the screen.  There were three difficulties for ""Jump Game,"" Easy, Normal, and Hard. </div> "
Bowling,Athena,Jaleco NAAthena JP,,gbc,3030-34600,A XaviXPort Bowling game featuring a special bowling conrtoller.,34600,0,,https://www.giantbomb.com/bowling/3030-34600/,,
